sprint_id,sprint_name,project_key,board_id,start_date,end_date,goal,sprint_status
SPR-0017,CRM Sprint 1,CRM,BOARD-011,2025-01-18,2025-01-31,Songer avancer rire sien bleu pensée mauvais.,Active
SPR-0018,CRM Sprint 2,CRM,BOARD-011,2025-02-01,2025-02-14,Vêtement tôt sérieux combat.,Active
SPR-0019,CRM Sprint 3,CRM,BOARD-011,2025-02-15,2025-02-28,Jeune soin tache colère abri flot tôt réponse drôle.,Completed
SPR-0020,CRM Sprint 4,CRM,BOARD-011,2025-03-01,2025-03-14,Peuple journal content d'abord assurer pur attendre enfant arracher jardin.,Completed
SPR-0021,CRM Sprint 5,CRM,BOARD-011,2025-03-15,2025-03-28,Ciel veiller avis conseil nourrir pluie demain cas succès descendre.,Active
SPR-0022,CRM Sprint 6,CRM,BOARD-011,2025-03-29,2025-04-11,Appartement avouer personne moitié engager digne plaisir enfermer discuter certainement.,Completed
SPR-0023,CRM Sprint 7,CRM,BOARD-011,2025-04-12,2025-04-25,Immense tourner trait accrocher paix moindre bois.,Active
SPR-0024,CRM Sprint 8,CRM,BOARD-011,2025-04-26,2025-05-09,Croire discussion trace souhaiter souffrance famille ciel scène prendre or.,Active
SPR-0025,DATA Sprint 1,DATA,BOARD-003,2025-09-08,2025-09-21,Accord rouge également phrase travail chacun camarade briser mettre donc.,Completed
SPR-0026,DATA Sprint 2,DATA,BOARD-003,2025-09-22,2025-10-05,Creuser été porter seulement lire dessus te arrêter particulier satisfaire.,Active
SPR-0027,DATA Sprint 3,DATA,BOARD-003,2025-10-06,2025-10-19,Absolu rejoindre parvenir dimanche que.,Completed
SPR-0028,DATA Sprint 4,DATA,BOARD-003,2025-10-20,2025-11-02,Près miser cabinet trois possible chemise animer falloir métier gris.,Completed
SPR-0029,DATA Sprint 5,DATA,BOARD-003,2025-11-03,2025-11-16,En surtout retenir simplement surtout.,Completed
SPR-0030,DATA Sprint 6,DATA,BOARD-003,2025-11-17,2025-11-30,Pointe placer événement ministre songer vieillard.,Completed
SPR-0031,DATA Sprint 7,DATA,BOARD-003,2025-12-01,2025-12-14,Ton demander clef réunir comprendre fusil.,Completed
SPR-0032,DATA Sprint 8,DATA,BOARD-003,2025-12-15,2025-12-28,Qualité erreur tout réveiller soi roche.,Completed
SPR-0033,ERP Sprint 1,ERP,BOARD-010,2025-07-05,2025-07-18,Cinquante préférer fil apparaître intérieur couler terrible.,Active
SPR-0034,ERP Sprint 2,ERP,BOARD-010,2025-07-19,2025-08-01,Empêcher résultat décider aimer convenir environ soi vers.,Active
SPR-0035,ERP Sprint 3,ERP,BOARD-008,2025-08-02,2025-08-15,Être loin poète sembler éprouver alors sou.,Completed
SPR-0036,ERP Sprint 4,ERP,BOARD-008,2025-08-16,2025-08-29,Conclure vent discuter brûler habiter propre enfant.,Active
SPR-0037,ERP Sprint 5,ERP,BOARD-008,2025-08-30,2025-09-12,Vivant campagne surveiller content approcher haine machine rideau porte travers.,Active
SPR-0038,ERP Sprint 6,ERP,BOARD-008,2025-09-13,2025-09-26,Facile auteur pied épaule enfant sept.,Completed
SPR-0039,ERP Sprint 7,ERP,BOARD-008,2025-09-27,2025-10-10,Livre place entretenir pouvoir mien contraire pierre.,Completed
SPR-0040,ERP Sprint 8,ERP,BOARD-008,2025-10-11,2025-10-24,Plutôt tache ou élément mener à dur gris.,Completed
SPR-0041,BANK Sprint 1,BANK,BOARD-009,2025-04-11,2025-04-24,Oeuvre entourer herbe pluie longtemps reste veille pur peser droit.,Completed
SPR-0042,BANK Sprint 2,BANK,BOARD-009,2025-04-25,2025-05-08,Espoir rouler ramasser plein de couler ainsi derrière inviter service autre.,Completed
SPR-0043,BANK Sprint 3,BANK,BOARD-009,2025-05-09,2025-05-22,Soutenir moyen prison fils fortune chef porter suivant simple.,Active
SPR-0044,BANK Sprint 4,BANK,BOARD-009,2025-05-23,2025-06-05,Rencontrer dame rêver pousser inquiétude.,Active
SPR-0045,BANK Sprint 5,BANK,BOARD-009,2025-06-06,2025-06-19,Désirer sérieux imaginer rêve placer voir nous tu suffire or.,Completed
SPR-0046,BANK Sprint 6,BANK,BOARD-009,2025-06-20,2025-07-03,Grain tapis hiver cinquante situation huit ramener secrétaire douceur.,Active
SPR-0047,BANK Sprint 7,BANK,BOARD-009,2025-07-04,2025-07-17,Joue dent haute prévenir delà esprit suivant avis cheval fil.,Completed
SPR-0048,BANK Sprint 8,BANK,BOARD-009,2025-07-18,2025-07-31,Présence au froid meilleur gauche coûter.,Completed
SPR-0049,PORTAL Sprint 1,PORTAL,BOARD-007,2026-09-02,2026-09-15,Fleur regretter tromper agiter souhaiter moyen jardin très égal.,Completed
SPR-0050,PORTAL Sprint 2,PORTAL,BOARD-007,2026-09-16,2026-09-29,Si un genre quinze même obtenir dans danger.,Active
SPR-0051,PORTAL Sprint 3,PORTAL,BOARD-007,2026-09-30,2026-10-13,Jour flamme plaine retour profondément seigneur théâtre visage marche.,Completed
SPR-0052,PORTAL Sprint 4,PORTAL,BOARD-007,2026-10-14,2026-10-27,Non phrase bande grandir soit confiance difficile envie.,Completed
SPR-0053,PORTAL Sprint 5,PORTAL,BOARD-007,2026-10-28,2026-11-10,Envelopper réclamer feuille ramener savoir détacher avouer agiter matière.,Active
SPR-0054,PORTAL Sprint 6,PORTAL,BOARD-007,2026-11-11,2026-11-24,De aussitôt vaincre appartement amuser désespoir secret paix.,Completed
SPR-0055,PORTAL Sprint 7,PORTAL,BOARD-007,2026-11-25,2026-12-08,Celui plaire moins d'abord précieux refuser commander.,Completed
SPR-0056,PORTAL Sprint 8,PORTAL,BOARD-007,2026-12-09,2026-12-22,Ventre prison rencontre coin endormir naître tourner moyen te fenêtre.,Completed
SPR-0057,BI Sprint 1,BI,BOARD-012,2026-01-24,2026-02-06,Avant posséder pareil bon relever servir.,Completed
SPR-0058,BI Sprint 2,BI,BOARD-012,2026-02-07,2026-02-20,Révolution retirer moment appel marchand peuple aussitôt paysan action geste.,Completed
SPR-0059,BI Sprint 3,BI,BOARD-012,2026-02-21,2026-03-06,Bras veiller partir santé présent habitude puisque verre dix.,Completed
SPR-0060,BI Sprint 4,BI,BOARD-012,2026-03-07,2026-03-20,Remercier inquiétude saluer nord entourer dès train doute humain raison.,Completed
SPR-0061,BI Sprint 5,BI,BOARD-012,2026-03-21,2026-04-03,On feuille âme seuil confiance crise retour étage souhaiter préférer.,Completed
SPR-0062,BI Sprint 6,BI,BOARD-012,2026-04-04,2026-04-17,Milieu l'un continuer déposer frère mieux dépasser.,Completed
SPR-0063,BI Sprint 7,BI,BOARD-012,2026-04-18,2026-05-01,Pays justice ressembler bête danser poste empire naturellement interrompre.,Active
SPR-0064,BI Sprint 8,BI,BOARD-012,2026-05-02,2026-05-15,Éteindre vrai mer étroit ignorer employer défendre produire enfoncer quelque.,Active
SPR-0065,SEC Sprint 1,SEC,,2026-03-02,2026-03-15,Contraire quarante doucement nom recherche nouveau.,Active
SPR-0066,SEC Sprint 2,SEC,,2026-03-16,2026-03-29,Savoir effacer exposer elle présenter.,Completed
SPR-0067,SEC Sprint 3,SEC,,2026-03-30,2026-04-12,Dormir vieux midi pouvoir celui soldat.,Completed
SPR-0068,SEC Sprint 4,SEC,,2026-04-13,2026-04-26,Bonheur acte droite je étaler verre détail situation calme.,Completed
SPR-0069,SEC Sprint 5,SEC,,2026-04-27,2026-05-10,Fou autrement parfois art cher.,Completed
SPR-0070,SEC Sprint 6,SEC,,2026-05-11,2026-05-24,Trouver bas désigner million gauche nouveau ouvrage remonter fier tel.,Completed
SPR-0071,SEC Sprint 7,SEC,,2026-05-25,2026-06-07,Simple voiture empêcher pain ombre quatre trou.,Active
SPR-0072,SEC Sprint 8,SEC,,2026-06-08,2026-06-21,Paraître discours avoir départ métier chute.,Completed
SPR-0073,CLOUD Sprint 1,CLOUD,BOARD-005,2025-11-20,2025-12-03,Huit notre échapper dégager présent premier ignorer porte.,Completed
SPR-0074,CLOUD Sprint 2,CLOUD,BOARD-006,2025-12-04,2025-12-17,Représenter par peu tracer grâce même paysan.,Completed
SPR-0075,CLOUD Sprint 3,CLOUD,BOARD-006,2025-12-18,2025-12-31,Salut autour colon emporter quoi monter durer.,Completed
SPR-0076,CLOUD Sprint 4,CLOUD,BOARD-005,2026-01-01,2026-01-14,Intention emmener franc donc matin haut.,Completed
SPR-0077,CLOUD Sprint 5,CLOUD,BOARD-005,2026-01-15,2026-01-28,Appartement guère entourer dessiner beauté venir second moyen type yeux.,Completed
SPR-0078,CLOUD Sprint 6,CLOUD,BOARD-005,2026-01-29,2026-02-11,Muet recueillir complètement lutte hésiter douleur vrai.,Active
SPR-0079,CLOUD Sprint 7,CLOUD,BOARD-006,2026-02-12,2026-02-25,Partie là beauté étouffer espace plaisir signifier épaule pourquoi.,Completed
SPR-0080,CLOUD Sprint 8,CLOUD,BOARD-005,2026-02-26,2026-03-11,Peur fou recherche année battre détail campagne.,Completed
