epic_id,epic_issue_key,project_key,epic_name,epic_status,start_date,target_date
EPIC-01129,CLOUD-1129,CLOUD,Vieux si mort détacher pitié vieux midi.,Done,2026-09-14,2026-11-06
EPIC-01133,BI-1133,BI,Amour prix monde dominer rare désespoir à crise année plusieurs ici inviter.,To Do,2026-09-14,2026-11-05
EPIC-01140,ECOM-1140,ECOM,Part ah compter combien accepter arracher.,Reopened,2026-09-14,2026-09-28
EPIC-01195,BI-1195,BI,Masse acte porte interroger empêcher terrible lieu.,Done,2026-09-14,2026-10-09
EPIC-01217,SEC-1217,SEC,Contre général poète journal y rire.,In Progress,2026-09-14,2026-11-28
EPIC-01220,DATA-1220,DATA,Discussion âme nombre enfermer ressembler bouche.,In Progress,2026-09-14,2026-09-27
EPIC-01240,BI-1240,BI,Convenir déclarer bas brusquement nul précis près.,Done,2026-09-14,2026-10-03
EPIC-01243,CLOUD-1243,CLOUD,Puissance précis auquel soit consulter.,Done,2026-09-14,2026-11-16
EPIC-01252,ERP-1252,ERP,Recevoir absolument inutile droite.,Reopened,2026-09-14,2026-11-21
EPIC-01255,ECOM-1255,ECOM,Défendre accord demande essuyer comment soulever note notre occuper.,To Do,2026-09-14,2026-11-07
EPIC-01263,CRM-1263,CRM,Parti endormir billet ni terme.,In Progress,2026-09-14,2026-11-10
EPIC-01272,PORTAL-1272,PORTAL,Lorsque produire esprit lorsque diriger effet distance permettre seigneur afin de désert dieu preuve malade quart saisir.,To Do,2026-09-14,2026-10-25
EPIC-01299,DATA-1299,DATA,Madame saint unique poids jeunesse rapporter vif lit sens mon fer vol.,Testing,2026-09-14,2026-10-10
EPIC-01313,BI-1313,BI,Gens beau bleu avec d'abord espérer saint regretter signe étendre lieu dominer bataille étonner résultat.,In Progress,2026-09-14,2026-10-08
EPIC-01318,ERP-1318,ERP,Presque créer témoin miser car poser fête rue.,Done,2026-09-14,2026-12-04
EPIC-01409,DATA-1409,DATA,Soleil autour cruel hasard bientôt bien cependant amener parfois.,To Do,2026-09-14,2026-12-01
EPIC-01440,ERP-1440,ERP,Lèvre maintenir fil type ni défaut parent réfléchir élever rien enlever.,Done,2026-09-14,2026-11-09
EPIC-01469,CLOUD-1469,CLOUD,Dame avec cabinet ci mince patron rassurer lutter loin réel.,In Progress,2026-09-14,2026-12-01
EPIC-01471,CRM-1471,CRM,Enfance flot aspect jusque compter lier loi.,Done,2026-09-14,2026-12-04
EPIC-01484,BANK-1484,BANK,Durer fleur honte supporter réflexion.,Done,2026-09-14,2026-10-08
EPIC-01541,DATA-1541,DATA,Flamme clair composer hésiter.,Blocked,2026-09-14,2026-11-05
EPIC-01542,ERP-1542,ERP,Beauté regretter que malgré.,In Progress,2026-09-14,2026-10-09
EPIC-01565,ERP-1565,ERP,Vivre aussitôt aider surprendre saint eau.,Blocked,2026-09-14,2026-10-19
EPIC-01587,BANK-1587,BANK,Trésor léger pouvoir pas fatigue certain eau absence fine presque.,In Progress,2026-09-14,2026-09-28
EPIC-01609,ERP-1609,ERP,Diriger personnage but tenir mettre monsieur quarante diriger franc moyen résistance.,Reopened,2026-09-14,2026-11-18
EPIC-01615,CLOUD-1615,CLOUD,Prochain calme poésie vers saisir arbre un loin dégager allumer frapper nourrir lutte quelque.,Done,2026-09-14,2026-11-20
EPIC-01633,DATA-1633,DATA,Sol personnage nul sommeil sourire adresser.,Done,2026-09-14,2026-10-14
EPIC-01660,MOB-1660,MOB,Confiance côte me chiffre mari enfoncer chance blond avouer fauteuil gros nouveau.,Done,2026-09-14,2026-10-25
EPIC-01661,DATA-1661,DATA,Colon peine tenter officier apporter tellement heureux saint repousser.,Done,2026-09-14,2026-12-13
EPIC-01676,MOB-1676,MOB,Patron horizon part oreille ombre libre magnifique.,Done,2026-09-14,2026-10-08
EPIC-01689,ECOM-1689,ECOM,Place tâche amour dos eaux.,Done,2026-09-14,2026-10-15
EPIC-01692,CLOUD-1692,CLOUD,Deux sentier tellement ferme surprendre chacun profond cercle secret cinq premier.,Done,2026-09-14,2026-09-27
EPIC-01702,SEC-1702,SEC,Idée mêler comprendre expression couvrir naissance forme bande remplir riche vin selon hauteur.,Done,2026-09-14,2026-11-20
EPIC-01706,BI-1706,BI,Retour moyen contraire faveur difficile prévenir dans.,Testing,2026-09-14,2026-09-25
EPIC-01727,DATA-1727,DATA,Diriger appartenir aile dos combat chanter.,In Progress,2026-09-14,2026-10-12
EPIC-01807,PORTAL-1807,PORTAL,Fortune conduire reculer auprès yeux ton y plante lequel.,To Do,2026-09-14,2026-12-03
EPIC-01811,BANK-1811,BANK,Veiller accrocher vêtement monde train succès remercier.,Done,2026-09-14,2026-10-05
EPIC-01851,SEC-1851,SEC,Point chaud pointe avec verre flamme aile profiter grave.,To Do,2026-09-14,2026-09-29
EPIC-01861,CRM-1861,CRM,Madame centre curieux éprouver problème subir inquiéter oser embrasser malade peur.,Done,2026-09-14,2026-12-05
EPIC-01878,CRM-1878,CRM,Changer saison devant tellement seul élément répéter hier signifier.,To Do,2026-09-14,2026-10-29
EPIC-01889,CLOUD-1889,CLOUD,Complet certain ton pencher garde manger ci miser parcourir proposer horizon étouffer.,To Do,2026-09-14,2026-10-25
EPIC-01898,BI-1898,BI,Heureux tenter dresser pointe oublier vieil peuple alors dépasser robe asseoir cerveau quartier bien mettre chaque.,Done,2026-09-14,2026-11-05
EPIC-01901,ERP-1901,ERP,Cause lui annoncer.,To Do,2026-09-14,2026-10-24
EPIC-01957,BANK-1957,BANK,Herbe sien dent coeur train espérer profondément ni dernier autrefois répondre crier attention exister.,Blocked,2026-09-14,2026-09-27
EPIC-01977,ECOM-1977,ECOM,Lors image mais beau midi aussitôt lever crainte rappeler travers usage bête.,In Progress,2026-09-14,2026-12-13
EPIC-02010,CRM-2010,CRM,Ne salle simplement désigner suivant huit nu enfermer attacher terreur.,Reopened,2026-09-14,2026-11-23
EPIC-02028,BANK-2028,BANK,Roi note plaisir fixer habiller boire.,Done,2026-09-14,2026-11-03
EPIC-02045,CLOUD-2045,CLOUD,Discuter image paupière bruit gloire réussir.,To Do,2026-09-14,2026-11-10
EPIC-02057,ECOM-2057,ECOM,Précis machine tapis immobile nez fusil social objet muet fils.,Done,2026-09-14,2026-11-30
EPIC-02065,CRM-2065,CRM,Réponse autre volonté cours herbe aide.,Done,2026-09-14,2026-12-02
EPIC-02108,CRM-2108,CRM,Humain marché plutôt nombre place pluie annoncer causer continuer droit voisin jeunesse suivre.,Blocked,2026-09-14,2026-10-22
EPIC-02123,BI-2123,BI,Geste nécessaire titre tantôt conseil exposer lorsque ventre.,Reopened,2026-09-14,2026-12-10
EPIC-02137,CRM-2137,CRM,Jeter intérieur coeur saisir.,Testing,2026-09-14,2026-11-13
EPIC-02209,SEC-2209,SEC,Quatre abattre blond auprès danser.,Testing,2026-09-14,2026-11-25
EPIC-02238,ECOM-2238,ECOM,Reste maison recommencer intéresser battre parce que vague lieu vif grâce.,Reopened,2026-09-14,2026-10-31
EPIC-02241,SEC-2241,SEC,Plonger plutôt ci oui bois bon système profond.,To Do,2026-09-14,2026-09-27
EPIC-02287,DATA-2287,DATA,Dos maladie reposer trente.,To Do,2026-09-14,2026-11-14
EPIC-02290,BANK-2290,BANK,Soi ajouter vêtement.,Done,2026-09-14,2026-10-01
EPIC-02325,SEC-2325,SEC,Compagnon âgé allumer source froid point saint égal ensemble.,Blocked,2026-09-14,2026-10-23
EPIC-02352,ECOM-2352,ECOM,Lever enfoncer honneur malgré air haut.,In Progress,2026-09-14,2026-09-23
EPIC-02373,SEC-2373,SEC,Beaux intérieur pointe décrire atteindre même repas portier voler.,To Do,2026-09-14,2026-11-07
EPIC-02415,ERP-2415,ERP,Cause regard mari l'une soudain certain comme tout dernier joindre.,In Progress,2026-09-14,2026-12-06
EPIC-02528,SEC-2528,SEC,Mériter connaissance fixe français finir instant aide prononcer désormais soudain.,Testing,2026-09-14,2026-10-25
EPIC-02543,BI-2543,BI,Sommet lit exister suivre cabinet sec avec que effet souvent terme nommer.,Done,2026-09-14,2026-10-24
EPIC-02593,PORTAL-2593,PORTAL,Mensonge adresser couleur bonheur fonction droit répondre accorder croiser.,Reopened,2026-09-14,2026-11-13
EPIC-02603,CRM-2603,CRM,Tu groupe preuve honneur compagnon dur objet.,In Progress,2026-09-14,2026-09-23
EPIC-02630,BI-2630,BI,Planche fermer hiver.,Done,2026-09-14,2026-10-04
EPIC-02634,CLOUD-2634,CLOUD,Retirer seulement conseil étudier calme enfoncer gauche prononcer poche soutenir poids soulever accepter trou.,To Do,2026-09-14,2026-10-04
EPIC-02635,SEC-2635,SEC,Odeur noir demain année beau quartier nombre rencontre condition propos jeune.,Done,2026-09-14,2026-10-09
EPIC-02664,PORTAL-2664,PORTAL,Meilleur réponse respect proposer réclamer posséder.,In Progress,2026-09-14,2026-12-10
EPIC-02670,MOB-2670,MOB,Lien ci ami mariage marchand plonger dimanche puis goutte ressembler.,In Progress,2026-09-14,2026-11-06
EPIC-02689,SEC-2689,SEC,Accorder usage dix politique jeune position lutte moitié difficile rêve faute transformer.,To Do,2026-09-14,2026-09-29
EPIC-02697,DATA-2697,DATA,Milieu jour ignorer honte poitrine mer effort arracher colère vie avancer passion.,Reopened,2026-09-14,2026-11-19
EPIC-02718,DATA-2718,DATA,François comprendre aile nation malgré je couler.,Blocked,2026-09-14,2026-09-24
EPIC-02732,CRM-2732,CRM,Bien comprendre loi rencontrer certain.,In Progress,2026-09-14,2026-10-14
EPIC-02772,PORTAL-2772,PORTAL,Lourd surprendre encore autrement curieux ferme défaut.,Blocked,2026-09-14,2026-11-20
EPIC-02773,SEC-2773,SEC,Cri or temps avis robe ciel espace prison image votre lui ouvert.,Reopened,2026-09-14,2026-11-26
EPIC-02814,SEC-2814,SEC,Sauvage un social enfin.,Done,2026-09-14,2026-11-01
EPIC-02834,CRM-2834,CRM,Joie dresser joli soit eaux.,Done,2026-09-14,2026-12-08
EPIC-02835,CLOUD-2835,CLOUD,Nourrir honte adresser.,Done,2026-09-14,2026-12-04
EPIC-02899,BANK-2899,BANK,Tendre annoncer sentier parfois rentrer placer souffler général cerveau devant profond fou porter promener mien société.,In Progress,2026-09-14,2026-09-24
EPIC-02908,BI-2908,BI,Combien couler acte droit répandre.,Testing,2026-09-14,2026-11-20
EPIC-02932,BANK-2932,BANK,Sec titre marier semblable sans valoir.,Testing,2026-09-14,2026-09-28
EPIC-03004,CLOUD-3004,CLOUD,Poitrine rapporter commun nombreux couvrir intelligence faveur sac.,To Do,2026-09-14,2026-11-07
EPIC-03015,ECOM-3015,ECOM,Réduire l'une vrai fonder avec pouvoir.,Testing,2026-09-14,2026-11-10
EPIC-03107,DATA-3107,DATA,Intéresser embrasser vin pouvoir.,In Progress,2026-09-14,2026-11-05
EPIC-03110,ECOM-3110,ECOM,Vous devant lui remplir davantage.,Done,2026-09-14,2026-11-18
EPIC-03166,DATA-3166,DATA,Vieux écrire guerre suffire habiller.,Done,2026-09-14,2026-12-02
EPIC-03196,DATA-3196,DATA,Pied agir peser rouge regard étranger.,In Progress,2026-09-14,2026-09-24
EPIC-03219,MOB-3219,MOB,Donner bien fatigue personne dessiner jaune commencement armer détacher approcher loup différent.,To Do,2026-09-14,2026-09-24
EPIC-03233,ERP-3233,ERP,Tache bas combat joie lire debout en inspirer.,To Do,2026-09-14,2026-11-13
EPIC-03251,DATA-3251,DATA,Surtout vers répandre installer fort exemple ni robe bleu.,Done,2026-09-14,2026-12-07
EPIC-03259,BI-3259,BI,Perdu proposer élever roche part joli public appartement mois patron.,Done,2026-09-14,2026-11-05
EPIC-03264,BI-3264,BI,Gens extraordinaire claire composer vrai après élever présenter.,Done,2026-09-14,2026-11-29
EPIC-03272,CLOUD-3272,CLOUD,Tout envie fois peau dimanche chair éloigner chaise essuyer grâce.,In Progress,2026-09-14,2026-11-24
EPIC-03284,MOB-3284,MOB,Seuil supposer prier aspect.,Done,2026-09-14,2026-09-26
EPIC-03325,SEC-3325,SEC,Voiture foule jour lune contre agir hier riche.,Testing,2026-09-14,2026-11-26
EPIC-03338,ECOM-3338,ECOM,Également tellement chant ah oreille rendre distinguer tâche esprit même juste élever parfois.,Done,2026-09-14,2026-11-27
EPIC-03379,SEC-3379,SEC,Quart derrière avance accord loin appel carte ministre.,In Progress,2026-09-14,2026-09-24
EPIC-03395,MOB-3395,MOB,Arme prendre intérêt plein livre naître.,Done,2026-09-14,2026-11-24
EPIC-03399,CLOUD-3399,CLOUD,Quoi accent interroger gris sol faim droit.,Done,2026-09-14,2026-10-28
EPIC-03423,BI-3423,BI,Davantage poste page sourd paraître lier ni.,Done,2026-09-14,2026-10-18
EPIC-03428,CRM-3428,CRM,Secours avis appuyer.,In Progress,2026-09-14,2026-12-06
EPIC-03438,CRM-3438,CRM,Existence confondre compagnon retrouver peau durer soudain but réclamer.,Testing,2026-09-14,2026-11-01
EPIC-03451,DATA-3451,DATA,Raison tout corps chambre revoir étudier etc sauver absolument lueur.,To Do,2026-09-14,2026-11-01
EPIC-03452,BANK-3452,BANK,Discours ci dès contraire inquiéter me eh.,Testing,2026-09-14,2026-10-14
EPIC-03459,DATA-3459,DATA,Lien lui entre obtenir mine auprès moitié effet.,Done,2026-09-14,2026-10-28
EPIC-03466,BI-3466,BI,Nécessaire qui mémoire prononcer étroit ville taire signifier en quelque raconter.,Done,2026-09-14,2026-12-05
EPIC-03468,DATA-3468,DATA,Poitrine tellement dieu marche manger vieillard respecter entourer marche seconde.,In Progress,2026-09-14,2026-10-21
EPIC-03480,ECOM-3480,ECOM,Troisième placer sac payer attitude quelqu'un mesure paraître corde annoncer.,To Do,2026-09-14,2026-10-17
EPIC-03488,ECOM-3488,ECOM,Lisser refuser vague heureux oui.,To Do,2026-09-14,2026-10-10
EPIC-03489,SEC-3489,SEC,Premier queue plein jeter pareil peine peur étendue long interrompre fuir fait.,In Progress,2026-09-14,2026-11-07
EPIC-03520,CLOUD-3520,CLOUD,Rompre or ça existence sauter.,Done,2026-09-14,2026-10-05
EPIC-03537,DATA-3537,DATA,Trembler déclarer détruire assez secrétaire.,In Progress,2026-09-14,2026-12-07
EPIC-03588,BI-3588,BI,Théâtre arrêter hors parti prévenir embrasser monter idée vie terme noire.,To Do,2026-09-14,2026-09-21
EPIC-03652,ECOM-3652,ECOM,Dormir vin certes près important avant somme ah prendre soumettre armée.,Done,2026-09-14,2026-11-09
EPIC-03695,CLOUD-3695,CLOUD,Poste embrasser toile leur arme un image effet prononcer sec arriver façon.,In Progress,2026-09-14,2026-10-05
EPIC-03698,BANK-3698,BANK,Après fleur champ courage casser froid pain mari forêt difficile.,In Progress,2026-09-14,2026-10-28
EPIC-03705,ECOM-3705,ECOM,Avancer cesse porte âme trait.,Blocked,2026-09-14,2026-10-13
EPIC-03746,ERP-3746,ERP,Cinquante toile tour rentrer aimer bien vague centre droit lit.,To Do,2026-09-14,2026-11-13
EPIC-03767,MOB-3767,MOB,Finir entendre genre banc haut raison diriger réussir.,To Do,2026-09-14,2026-10-23
EPIC-03784,BANK-3784,BANK,Grave épaule ancien voiture trois mouvement parcourir partager importance haut emporter chaud durant mur.,To Do,2026-09-14,2026-11-07
EPIC-03797,ERP-3797,ERP,Voiture appeler eau essuyer impression instant réserver regarder.,Blocked,2026-09-14,2026-10-25
EPIC-03799,BI-3799,BI,Rapporter hésiter ça fumer pareil.,Done,2026-09-14,2026-11-12
EPIC-03811,MOB-3811,MOB,Silence coin lever nul étendre résultat tout mener creuser circonstance porter.,Done,2026-09-14,2026-11-25
EPIC-03814,MOB-3814,MOB,Leur prêter dire colère près.,Done,2026-09-14,2026-11-02
EPIC-03860,ECOM-3860,ECOM,As accepter oh joie colon discuter travail quelqu'un ni finir gris.,Done,2026-09-14,2026-10-02
EPIC-03899,CRM-3899,CRM,Rencontrer mer défendre jeune sac port poésie chaîne social banc roche.,In Progress,2026-09-14,2026-10-23
EPIC-03917,MOB-3917,MOB,Mort réussir ton.,Testing,2026-09-14,2026-10-11
EPIC-03973,SEC-3973,SEC,Roche accrocher durer sept mauvais d'autres souvenir encore bleu maintenant casser seuil.,In Progress,2026-09-14,2026-11-04
EPIC-03976,ERP-3976,ERP,Maintenir rire victime.,Testing,2026-09-14,2026-11-01
EPIC-04028,PORTAL-4028,PORTAL,Au présence membre traîner ordre militaire que habiter.,Done,2026-09-14,2026-10-22
EPIC-04050,ERP-4050,ERP,Savoir occuper habitant tâche abandonner vérité volonté rose sorte présence.,Blocked,2026-09-14,2026-11-01
EPIC-04071,ECOM-4071,ECOM,Leur aussi remplir ce force peu construire île âme boire.,Done,2026-09-14,2026-10-08
EPIC-04113,ERP-4113,ERP,Haïr amuser violence train tandis que toucher difficile partir.,To Do,2026-09-14,2026-09-28
EPIC-04136,PORTAL-4136,PORTAL,Et sentier énorme jambe calme.,Done,2026-09-14,2026-09-25
EPIC-04189,CRM-4189,CRM,Objet existence émotion comme il amener trouver craindre entier enfoncer.,To Do,2026-09-14,2026-11-05
EPIC-04209,PORTAL-4209,PORTAL,Endroit voile geste idée porte long appartenir coûter de.,Testing,2026-09-14,2026-12-11
EPIC-04226,SEC-4226,SEC,Acte écouter trouver retour étranger plaindre ouvrir titre disposer.,Blocked,2026-09-14,2026-10-15
EPIC-04232,ECOM-4232,ECOM,Confiance jamais répondre lien avant fidèle passé mal chasser court chance oh ouvrir.,In Progress,2026-09-14,2026-11-01
EPIC-04249,CRM-4249,CRM,Profondément impossible respirer caractère sentir action.,To Do,2026-09-14,2026-10-07
EPIC-04259,CLOUD-4259,CLOUD,Animal ceci aide neuf éloigner inventer amuser surprendre magnifique nation hauteur hors.,To Do,2026-09-14,2026-10-26
EPIC-04295,PORTAL-4295,PORTAL,École mémoire endroit vêtir manquer aller fatigue point rire morceau dimanche bonheur politique.,Done,2026-09-14,2026-12-03
EPIC-04367,MOB-4367,MOB,Goût objet seul général.,Testing,2026-09-14,2026-12-03
EPIC-04372,ERP-4372,ERP,Jeter beaucoup étranger compagnie commander toucher pas étrange revoir ni chercher ensuite.,In Progress,2026-09-14,2026-12-12
EPIC-04399,PORTAL-4399,PORTAL,Poésie beau où assurer oser.,In Progress,2026-09-14,2026-09-25
EPIC-04406,DATA-4406,DATA,Être avenir briser conduire savoir oublier fort.,To Do,2026-09-14,2026-10-03
EPIC-04425,MOB-4425,MOB,Rose jeter présent public expression d'abord aimer.,Done,2026-09-14,2026-10-12
EPIC-04463,MOB-4463,MOB,Je cinquante partager source gens autant odeur.,To Do,2026-09-14,2026-10-10
EPIC-04485,CRM-4485,CRM,Fatigue discuter partie tout.,In Progress,2026-09-14,2026-10-19
EPIC-04488,SEC-4488,SEC,Donc barbe angoisse différent passé rompre pauvre vol sentier tache cela.,In Progress,2026-09-14,2026-10-08
EPIC-04494,CRM-4494,CRM,Pierre ce repousser est vous droit.,Blocked,2026-09-14,2026-11-18
EPIC-04498,BANK-4498,BANK,Rien lui esprit disparaître mari poste rose éclairer supposer lui seconde abandonner.,Done,2026-09-14,2026-10-01
EPIC-04509,BANK-4509,BANK,Étendue son époque quartier demeurer gauche arrivée retrouver.,In Progress,2026-09-14,2026-11-11
EPIC-04513,ERP-4513,ERP,Petit mariage second.,In Progress,2026-09-14,2026-10-14
EPIC-04536,BANK-4536,BANK,Oublier vite ceci quelqu'un agiter échapper respect lieu geste achever chant nouveau.,Done,2026-09-14,2026-11-05
EPIC-04549,CLOUD-4549,CLOUD,Marchand respecter saint ton riche.,Done,2026-09-14,2026-12-12
EPIC-04568,SEC-4568,SEC,Chance humide passage puis oser souvenir tandis que.,Testing,2026-09-14,2026-11-08
EPIC-04579,PORTAL-4579,PORTAL,Cela tourner idée flamme quoi subir.,Testing,2026-09-14,2026-10-25
EPIC-04611,ERP-4611,ERP,Bleu mon attendre épaule figure faute.,In Progress,2026-09-14,2026-12-11
EPIC-04614,PORTAL-4614,PORTAL,Paupière sol enfance afin de aider coeur.,In Progress,2026-09-14,2026-10-18
EPIC-04617,CLOUD-4617,CLOUD,Arme traverser nouveau détruire herbe nombreux conversation pitié sembler libre remplir reste.,Testing,2026-09-14,2026-11-08
EPIC-04633,CLOUD-4633,CLOUD,Ramasser plusieurs tourner immobile devoir avis là mois tu avec.,In Progress,2026-09-14,2026-10-17
EPIC-04639,ERP-4639,ERP,Voir naître double monde rang nu ressembler.,To Do,2026-09-14,2026-11-12
EPIC-04640,BANK-4640,BANK,Dessiner trembler quartier amuser clef preuve pour travail éclairer effet moitié honneur scène.,Done,2026-09-14,2026-10-15
EPIC-04650,MOB-4650,MOB,Libre part autre forêt joue gauche condition vers.,Done,2026-09-14,2026-10-19
EPIC-04655,ECOM-4655,ECOM,Feuille présent ruine résultat difficile douleur nouveau.,In Progress,2026-09-14,2026-12-02
EPIC-04657,ECOM-4657,ECOM,Billet franchir trou cou ouvrir genou conseil seuil se poitrine.,In Progress,2026-09-14,2026-10-27
EPIC-04666,BANK-4666,BANK,Sein accompagner importance moi rang nez dernier.,In Progress,2026-09-14,2026-10-11
EPIC-04683,PORTAL-4683,PORTAL,Mine position voir défaut coin reprendre prêter.,In Progress,2026-09-14,2026-10-29
EPIC-04707,ECOM-4707,ECOM,Gros précipiter franchir conclure fonction.,In Progress,2026-09-14,2026-10-12
