link_id,source_issue,target_issue,link_type
LINK-00088,ECOM-655,MOB-96,is blocked by
LINK-00089,ERP-257,PORTAL-23,is duplicated by
LINK-00090,SEC-3379,CLOUD-3623,is blocked by
LINK-00091,BANK-387,CRM-344,blocks
LINK-00092,CRM-3805,DATA-1592,is blocked by
LINK-00093,BI-4088,MOB-1422,is blocked by
LINK-00094,PORTAL-2220,ERP-1040,blocks
LINK-00095,BANK-1688,BANK-81,relates to
LINK-00096,SEC-2773,MOB-667,is blocked by
LINK-00097,CLOUD-2308,CLOUD-3787,duplicates
LINK-00098,CLOUD-715,ECOM-1507,is duplicated by
LINK-00099,CLOUD-2761,ECOM-2166,is blocked by
LINK-00100,CRM-3266,ECOM-3065,duplicates
LINK-00101,CRM-1451,SEC-3315,relates to
LINK-00102,MOB-4774,ECOM-4099,duplicates
LINK-00103,BI-2763,SEC-7,relates to
LINK-00104,SEC-1757,MOB-3828,is blocked by
LINK-00105,DATA-3626,CRM-3476,relates to
LINK-00106,DATA-4524,PORTAL-4614,duplicates
LINK-00107,CLOUD-3499,BI-161,relates to
LINK-00108,PORTAL-1480,DATA-2431,is duplicated by
LINK-00109,SEC-2163,CRM-335,blocks
LINK-00110,ERP-181,ECOM-456,duplicates
LINK-00111,CRM-1488,ERP-1367,blocks
LINK-00112,ECOM-1164,PORTAL-979,duplicates
LINK-00113,BANK-4207,ECOM-3047,is blocked by
LINK-00114,ERP-3376,MOB-2725,duplicates
LINK-00115,ERP-2058,ERP-1723,duplicates
LINK-00116,BANK-4687,BANK-1312,relates to
LINK-00117,MOB-3078,ECOM-2942,is blocked by
LINK-00118,ERP-3592,ERP-3437,duplicates
LINK-00119,MOB-1158,ECOM-1152,is blocked by
LINK-00120,PORTAL-2254,ECOM-845,is duplicated by
LINK-00121,CRM-2118,PORTAL-1571,relates to
LINK-00122,BANK-3757,ECOM-964,blocks
LINK-00123,CRM-3581,PORTAL-580,blocks
LINK-00124,SEC-2439,SEC-1631,is blocked by
LINK-00125,DATA-4872,DATA-1992,blocks
LINK-00126,DATA-2094,CLOUD-1773,duplicates
LINK-00127,ECOM-1752,MOB-4785,relates to
LINK-00128,PORTAL-1765,DATA-4190,relates to
LINK-00129,DATA-2649,CRM-1611,duplicates
LINK-00130,SEC-1237,SEC-3433,is blocked by
LINK-00131,CLOUD-277,BANK-758,duplicates
LINK-00132,BI-3638,ERP-3822,relates to
LINK-00133,ECOM-2219,BANK-245,relates to
LINK-00134,SEC-95,MOB-2658,relates to
LINK-00135,PORTAL-3350,SEC-4886,blocks
LINK-00136,PORTAL-1807,BANK-3765,blocks
LINK-00137,PORTAL-1738,SEC-4737,blocks
LINK-00138,BANK-3862,ECOM-3087,relates to
LINK-00139,CLOUD-2045,PORTAL-4474,duplicates
LINK-00140,MOB-812,MOB-1111,is blocked by
LINK-00141,BANK-3324,ERP-897,blocks
LINK-00142,ERP-935,ERP-1725,is duplicated by
LINK-00143,BANK-3932,DATA-4692,is blocked by
LINK-00144,ERP-4596,MOB-209,is duplicated by
LINK-00145,MOB-603,SEC-4994,blocks
LINK-00146,BI-776,DATA-3009,duplicates
LINK-00147,SEC-1103,ERP-2746,is duplicated by
LINK-00148,BI-2500,CRM-4916,relates to
LINK-00149,PORTAL-3866,DATA-3567,is duplicated by
LINK-00150,ECOM-2457,MOB-4212,relates to
LINK-00151,SEC-2923,ERP-2181,duplicates
LINK-00152,SEC-1230,PORTAL-616,is blocked by
LINK-00153,BI-563,BI-3738,blocks
LINK-00154,ERP-2996,CRM-4276,relates to
LINK-00155,BI-2883,BI-1809,is duplicated by
LINK-00156,BANK-3547,MOB-2475,duplicates
LINK-00157,BANK-3991,BI-3671,is duplicated by
LINK-00158,BI-1273,SEC-1916,blocks
LINK-00159,MOB-3041,ERP-459,is blocked by
LINK-00160,MOB-487,PORTAL-2723,blocks
LINK-00161,ERP-438,ECOM-473,blocks
LINK-00162,DATA-629,CRM-103,is blocked by
LINK-00163,SEC-2609,ECOM-1686,is blocked by
LINK-00164,PORTAL-2913,PORTAL-4399,blocks
LINK-00165,PORTAL-1928,SEC-5000,is duplicated by
LINK-00166,BANK-1593,ERP-1853,blocks
LINK-00167,ECOM-3847,BANK-4037,is duplicated by
LINK-00168,BANK-1808,ERP-1978,blocks
LINK-00169,ERP-484,MOB-3767,blocks
LINK-00170,CRM-2378,ERP-3233,relates to
LINK-00171,CRM-1606,MOB-4126,relates to
LINK-00172,ERP-754,PORTAL-4713,blocks
LINK-00173,DATA-1101,PORTAL-2938,duplicates
LINK-00174,MOB-2340,ERP-4492,is blocked by
LINK-00175,SEC-414,PORTAL-3152,is blocked by
LINK-00176,BI-623,SEC-3778,is blocked by
LINK-00177,CRM-4937,CRM-1366,is blocked by
LINK-00178,SEC-1919,CLOUD-311,is duplicated by
LINK-00179,CLOUD-3038,CLOUD-541,is duplicated by
LINK-00180,PORTAL-3753,MOB-4620,is blocked by
LINK-00181,CLOUD-2411,DATA-792,blocks
LINK-00182,SEC-4020,ERP-411,is blocked by
LINK-00183,MOB-4277,BANK-2470,relates to
LINK-00184,CRM-3457,MOB-4195,blocks
LINK-00185,ECOM-3974,CRM-2115,is duplicated by
LINK-00186,BI-4729,BI-527,duplicates
LINK-00187,BANK-2607,SEC-1510,duplicates
LINK-00188,CRM-1098,ERP-507,is blocked by
LINK-00189,DATA-811,BANK-4671,is blocked by
LINK-00190,BANK-2096,CLOUD-601,is blocked by
LINK-00191,MOB-2881,MOB-4237,blocks
LINK-00192,MOB-4381,ERP-4346,blocks
LINK-00193,BI-960,CLOUD-3756,is duplicated by
LINK-00194,SEC-2173,ECOM-4079,blocks
LINK-00195,ERP-3816,MOB-4930,duplicates
LINK-00196,ECOM-2127,CRM-425,duplicates
LINK-00197,ECOM-4707,CRM-625,duplicates
LINK-00198,BANK-4900,ECOM-4206,is duplicated by
LINK-00199,MOB-1668,SEC-3026,duplicates
LINK-00200,DATA-3011,PORTAL-1316,is blocked by
LINK-00201,CLOUD-1893,DATA-1506,is duplicated by
LINK-00202,ECOM-2522,BI-1064,duplicates
LINK-00203,CLOUD-1629,CRM-1377,duplicates
LINK-00204,BI-1184,ECOM-1436,is blocked by
LINK-00205,BI-1054,ECOM-401,is duplicated by
LINK-00206,CRM-4827,SEC-418,is duplicated by
LINK-00207,SEC-4327,BI-3498,blocks
LINK-00208,ERP-462,PORTAL-4304,duplicates
LINK-00209,DATA-361,CRM-170,is blocked by
LINK-00210,ERP-126,PORTAL-865,relates to
LINK-00211,CLOUD-3314,MOB-1144,blocks
LINK-00212,MOB-1322,ERP-4326,duplicates
LINK-00213,BI-623,PORTAL-4388,duplicates
LINK-00214,MOB-2055,CRM-1056,relates to
LINK-00215,ECOM-1001,MOB-736,relates to
LINK-00216,MOB-4367,CLOUD-3675,is blocked by
LINK-00217,PORTAL-3355,PORTAL-4867,is blocked by
LINK-00218,ERP-3881,BI-3215,is duplicated by
LINK-00219,BI-1284,DATA-3235,duplicates
LINK-00220,SEC-4668,BANK-2408,blocks
LINK-00221,ECOM-4232,CRM-4376,is blocked by
LINK-00222,MOB-3300,CLOUD-4758,duplicates
LINK-00223,PORTAL-3152,ERP-1816,is blocked by
LINK-00224,BI-3885,BANK-914,duplicates
LINK-00225,CLOUD-2462,ERP-897,blocks
LINK-00226,SEC-4165,MOB-4610,duplicates
LINK-00227,MOB-3464,MOB-3008,relates to
LINK-00228,BANK-1968,DATA-251,blocks
LINK-00229,BI-3029,DATA-1445,is blocked by
LINK-00230,BANK-1957,ECOM-4294,duplicates
LINK-00231,CRM-2118,SEC-1958,relates to
LINK-00232,ECOM-3263,ECOM-1854,is blocked by
LINK-00233,CLOUD-2052,BANK-4378,blocks
LINK-00234,CRM-2200,BANK-720,is duplicated by
LINK-00235,CRM-4019,BI-3510,duplicates
LINK-00236,SEC-2928,BI-370,is duplicated by
LINK-00237,BANK-4370,CRM-3461,duplicates
LINK-00238,CRM-393,PORTAL-4983,is duplicated by
LINK-00239,PORTAL-4028,CLOUD-3615,is duplicated by
LINK-00240,CRM-3807,MOB-2214,is duplicated by
LINK-00241,CLOUD-1014,MOB-2499,is blocked by
LINK-00242,ERP-1048,ECOM-3882,is blocked by
LINK-00243,BI-2277,DATA-2122,relates to
LINK-00244,CLOUD-1022,SEC-642,relates to
LINK-00245,ERP-4571,MOB-1296,is duplicated by
LINK-00246,CLOUD-1372,CLOUD-1677,blocks
LINK-00247,ECOM-4133,SEC-895,is blocked by
LINK-00248,BANK-3265,PORTAL-2927,relates to
LINK-00249,SEC-2453,CRM-3417,is duplicated by
LINK-00250,BI-2763,ERP-3952,is blocked by
LINK-00251,BANK-4978,ECOM-2957,duplicates
LINK-00252,BANK-449,MOB-4647,is blocked by
LINK-00253,DATA-4021,MOB-483,duplicates
LINK-00254,BI-982,BANK-2170,blocks
LINK-00255,BI-3677,DATA-629,is duplicated by
LINK-00256,MOB-812,BI-1956,is blocked by
LINK-00257,BANK-2552,CRM-4988,blocks
LINK-00258,SEC-3191,PORTAL-4903,blocks
LINK-00259,BI-3966,ECOM-500,blocks
LINK-00260,CLOUD-1046,MOB-2192,is blocked by
LINK-00261,DATA-2244,PORTAL-2664,relates to
LINK-00262,PORTAL-4097,BI-4775,duplicates
LINK-00263,SEC-3633,SEC-4529,duplicates
LINK-00264,CLOUD-185,CLOUD-3296,is blocked by
LINK-00265,PORTAL-868,BANK-2880,relates to
LINK-00266,BANK-3129,ERP-1072,relates to
LINK-00267,SEC-2868,BANK-1883,is blocked by
LINK-00268,DATA-1999,BI-1769,blocks
LINK-00269,PORTAL-4753,SEC-663,is duplicated by
LINK-00270,ECOM-2374,SEC-2177,is duplicated by
LINK-00271,CRM-3943,SEC-4070,is duplicated by
LINK-00272,CLOUD-4617,PORTAL-4214,is blocked by
LINK-00273,MOB-4930,ERP-1160,duplicates
LINK-00274,SEC-325,ECOM-3181,duplicates
LINK-00275,BANK-2354,PORTAL-1375,blocks
LINK-00276,BANK-1232,ERP-290,is blocked by
LINK-00277,ERP-4314,PORTAL-2580,is blocked by
LINK-00278,CLOUD-1762,SEC-1778,relates to
LINK-00279,ERP-220,ERP-1634,relates to
LINK-00280,CLOUD-1402,ECOM-2166,duplicates
LINK-00281,BI-1301,DATA-2805,duplicates
LINK-00282,CLOUD-3392,SEC-3201,is blocked by
LINK-00283,SEC-4751,CLOUD-4799,is duplicated by
LINK-00284,CLOUD-4236,MOB-4517,is blocked by
LINK-00285,DATA-907,PORTAL-3081,is duplicated by
LINK-00286,DATA-1302,BI-1423,duplicates
LINK-00287,MOB-2866,DATA-4247,is duplicated by
LINK-00288,ERP-42,ERP-2211,relates to
LINK-00289,ECOM-4297,DATA-2680,is duplicated by
LINK-00290,MOB-3734,ECOM-4373,duplicates
LINK-00291,ERP-173,CLOUD-4408,relates to
LINK-00292,MOB-2409,ECOM-1899,duplicates
LINK-00293,PORTAL-955,DATA-697,blocks
LINK-00294,ECOM-4929,CRM-4889,is blocked by
LINK-00295,CRM-4860,CLOUD-2686,relates to
LINK-00296,BI-4228,BI-2966,is duplicated by
LINK-00297,ERP-4050,MOB-4785,is blocked by
LINK-00298,BI-1273,SEC-3949,blocks
LINK-00299,SEC-4794,MOB-143,relates to
LINK-00300,ERP-3437,BANK-3492,blocks
LINK-00301,PORTAL-415,CRM-2834,duplicates
LINK-00302,DATA-4,SEC-3898,duplicates
LINK-00303,MOB-3672,BANK-3492,is blocked by
LINK-00304,CLOUD-3945,BANK-4640,is duplicated by
LINK-00305,BI-776,PORTAL-930,is blocked by
LINK-00306,BI-4455,BI-3546,relates to
LINK-00307,ERP-1403,BI-1143,is blocked by
LINK-00308,DATA-1295,DATA-251,is duplicated by
LINK-00309,BI-2395,ERP-1197,relates to
LINK-00310,MOB-1144,PORTAL-2666,is duplicated by
LINK-00311,CLOUD-3915,BI-4542,relates to
LINK-00312,BANK-4421,SEC-1490,is duplicated by
LINK-00313,ERP-3411,PORTAL-3806,is duplicated by
LINK-00314,MOB-377,DATA-3668,duplicates
LINK-00315,CLOUD-340,CRM-3479,relates to
LINK-00316,CLOUD-608,MOB-4052,duplicates
LINK-00317,ECOM-241,MOB-3147,is blocked by
LINK-00318,BANK-4389,BANK-2668,duplicates
LINK-00319,DATA-1101,ECOM-2520,duplicates
LINK-00320,CRM-1410,BANK-2488,blocks
LINK-00321,DATA-2262,DATA-819,blocks
LINK-00322,MOB-3808,BI-3590,blocks
LINK-00323,CLOUD-2561,MOB-4835,blocks
LINK-00324,ECOM-1959,DATA-3430,blocks
LINK-00325,BANK-4480,CRM-2655,is duplicated by
LINK-00326,CLOUD-1465,BANK-106,blocks
LINK-00327,PORTAL-4388,BI-3386,blocks
LINK-00328,MOB-784,SEC-2433,duplicates
LINK-00329,CLOUD-959,BANK-3160,is duplicated by
LINK-00330,ERP-1057,DATA-3133,is blocked by
LINK-00331,BI-3401,BI-2908,relates to
LINK-00332,BI-3074,BANK-914,is duplicated by
LINK-00333,CRM-1659,PORTAL-2570,blocks
LINK-00334,CLOUD-1469,BI-1846,is blocked by
LINK-00335,CLOUD-1748,BI-518,duplicates
LINK-00336,ERP-1294,ECOM-1255,is blocked by
LINK-00337,DATA-2853,PORTAL-2438,relates to
LINK-00338,CLOUD-324,MOB-557,duplicates
LINK-00339,SEC-3303,CLOUD-311,relates to
LINK-00340,CRM-816,BI-2495,duplicates
LINK-00341,MOB-3821,CRM-4271,duplicates
LINK-00342,BI-1786,BANK-4227,blocks
LINK-00343,CRM-2594,MOB-3754,relates to
LINK-00344,DATA-2285,DATA-534,blocks
LINK-00345,SEC-1916,CRM-1861,is blocked by
LINK-00346,ECOM-4578,BI-1809,duplicates
LINK-00347,MOB-4545,BANK-2323,blocks
LINK-00348,CLOUD-62,ERP-4756,is blocked by
LINK-00349,BI-3500,BANK-613,relates to
LINK-00350,BANK-2506,CLOUD-4321,is blocked by
LINK-00351,CRM-141,PORTAL-997,relates to
LINK-00352,MOB-2980,SEC-3433,duplicates
LINK-00353,CRM-2099,PORTAL-2927,is blocked by
LINK-00354,BANK-2541,BANK-1311,is duplicated by
LINK-00355,MOB-1270,CRM-3037,is duplicated by
LINK-00356,SEC-7,PORTAL-1589,duplicates
LINK-00357,BI-3125,PORTAL-1257,relates to
LINK-00358,SEC-1265,ECOM-2238,duplicates
LINK-00359,PORTAL-3092,ERP-3073,relates to
LINK-00360,CRM-1697,DATA-610,is blocked by
LINK-00361,CRM-816,BANK-749,is blocked by
LINK-00362,DATA-3274,MOB-4693,is blocked by
LINK-00363,BANK-993,ECOM-2239,is blocked by
LINK-00364,DATA-4068,CRM-3843,is blocked by
LINK-00365,BI-2429,CLOUD-4829,blocks
LINK-00366,ERP-50,ECOM-2788,is blocked by
LINK-00367,ECOM-2492,CRM-1536,blocks
LINK-00368,CLOUD-1670,ECOM-1477,relates to
LINK-00369,CLOUD-4741,DATA-3741,is blocked by
LINK-00370,DATA-3536,DATA-3837,relates to
LINK-00371,MOB-1660,ERP-2347,is duplicated by
LINK-00372,DATA-4504,PORTAL-676,duplicates
LINK-00373,CRM-2791,SEC-5000,is blocked by
LINK-00374,BANK-863,DATA-363,blocks
LINK-00375,ERP-1260,BI-1496,relates to
LINK-00376,DATA-4358,ERP-1870,relates to
LINK-00377,SEC-3323,CLOUD-203,is duplicated by
LINK-00378,PORTAL-2802,PORTAL-997,relates to
LINK-00379,CRM-674,ERP-2047,is blocked by
LINK-00380,PORTAL-4225,ECOM-1477,is blocked by
LINK-00381,ECOM-2240,CRM-2250,relates to
LINK-00382,ECOM-1041,PORTAL-2297,duplicates
LINK-00383,ECOM-1472,ECOM-2352,relates to
LINK-00384,CLOUD-715,CLOUD-4636,relates to
LINK-00385,PORTAL-2129,BANK-3129,is blocked by
LINK-00386,DATA-3533,BANK-2028,is duplicated by
LINK-00387,CRM-2647,ERP-3366,is blocked by
LINK-00388,CRM-3333,SEC-635,is blocked by
LINK-00389,ECOM-905,ECOM-1993,is duplicated by
LINK-00390,CRM-1218,DATA-534,blocks
LINK-00391,PORTAL-4028,ECOM-4423,is duplicated by
LINK-00392,ERP-2419,ECOM-1783,duplicates
LINK-00393,PORTAL-2242,MOB-3844,is duplicated by
LINK-00394,PORTAL-1239,ECOM-4541,is duplicated by
LINK-00395,ECOM-4665,BANK-2688,is blocked by
LINK-00396,CLOUD-1155,CLOUD-4530,is duplicated by
LINK-00397,ECOM-1834,MOB-3134,is blocked by
LINK-00398,BI-3593,ERP-4756,is blocked by
LINK-00399,ECOM-1854,CLOUD-107,blocks
LINK-00400,MOB-1787,CRM-3707,is duplicated by
LINK-00401,CLOUD-4469,BANK-4462,duplicates
LINK-00402,BANK-4560,ECOM-1032,is blocked by
LINK-00403,SEC-1376,BI-2921,is blocked by
LINK-00404,PORTAL-2321,BANK-1153,is blocked by
LINK-00405,CRM-3247,BI-2544,duplicates
LINK-00406,CLOUD-3427,CLOUD-227,blocks
LINK-00407,CRM-654,BI-2048,is blocked by
LINK-00408,CLOUD-2037,PORTAL-2666,blocks
LINK-00409,PORTAL-1429,MOB-744,is blocked by
LINK-00410,PORTAL-2847,DATA-805,is blocked by
LINK-00411,ERP-2472,CLOUD-4311,duplicates
LINK-00412,DATA-4975,BANK-428,is blocked by
LINK-00413,DATA-3741,ECOM-1879,is duplicated by
LINK-00414,SEC-3709,BANK-3424,is duplicated by
LINK-00415,ECOM-246,SEC-4391,is duplicated by
LINK-00416,SEC-4668,ECOM-2474,is blocked by
LINK-00417,ECOM-273,DATA-3162,relates to
LINK-00418,ECOM-497,CLOUD-1136,relates to
LINK-00419,CLOUD-1155,CRM-4233,is duplicated by
LINK-00420,BANK-749,CRM-157,duplicates
LINK-00421,BI-1920,BI-43,is blocked by
LINK-00422,ECOM-751,ECOM-3181,duplicates
LINK-00423,SEC-2034,BI-1585,is blocked by
LINK-00424,SEC-652,CLOUD-1418,blocks
LINK-00425,DATA-3393,SEC-4840,blocks
LINK-00426,BANK-1767,CLOUD-4196,relates to
LINK-00427,ECOM-2931,MOB-1613,is blocked by
LINK-00428,SEC-175,BANK-4156,relates to
LINK-00429,SEC-4275,SEC-2177,duplicates
LINK-00430,ERP-4091,SEC-2342,is duplicated by
LINK-00431,CLOUD-442,DATA-3186,is duplicated by
LINK-00432,BI-40,SEC-2845,blocks
LINK-00433,BANK-114,SEC-3143,relates to
LINK-00434,MOB-3240,MOB-1432,is duplicated by
LINK-00435,MOB-1802,PORTAL-4076,duplicates
LINK-00436,PORTAL-1110,SEC-1,relates to
LINK-00437,SEC-414,DATA-3405,duplicates
LINK-00438,ECOM-632,ERP-1978,is duplicated by
LINK-00439,CLOUD-4012,BI-4632,is duplicated by
LINK-00440,ECOM-2708,CLOUD-2487,blocks
LINK-00441,PORTAL-2913,SEC-1580,blocks
LINK-00442,SEC-5000,BI-2187,blocks
LINK-00443,SEC-3118,BI-3785,relates to
LINK-00444,CRM-2229,ERP-4944,duplicates
LINK-00445,SEC-4840,PORTAL-1807,is duplicated by
LINK-00446,SEC-4167,BANK-1153,duplicates
LINK-00447,SEC-1935,BI-2361,is blocked by
LINK-00448,BI-848,ECOM-4350,blocks
LINK-00449,SEC-1459,ERP-585,is blocked by
LINK-00450,CRM-188,BI-4775,is blocked by
LINK-00451,BANK-2628,CRM-3530,is duplicated by
LINK-00452,BANK-3160,BANK-1965,blocks
LINK-00453,DATA-4092,BANK-2284,duplicates
LINK-00454,BI-1970,BI-4554,is duplicated by
LINK-00455,CLOUD-375,BI-3942,is blocked by
LINK-00456,CRM-343,SEC-1580,blocks
LINK-00457,DATA-3567,BI-1898,relates to
LINK-00458,BI-2969,ECOM-4828,blocks
LINK-00459,DATA-881,ECOM-4112,relates to
LINK-00460,CLOUD-4638,DATA-3166,blocks
LINK-00461,SEC-4327,ERP-2489,relates to
LINK-00462,BANK-1593,CRM-1719,is blocked by
LINK-00463,MOB-4084,MOB-4826,is blocked by
LINK-00464,SEC-369,MOB-4029,relates to
LINK-00465,MOB-1555,MOB-357,blocks
LINK-00466,ERP-3584,DATA-3286,duplicates
LINK-00467,MOB-1581,MOB-1802,duplicates
LINK-00468,MOB-3185,ECOM-3891,is blocked by
LINK-00469,ERP-1294,BI-2386,is blocked by
LINK-00470,BANK-4370,DATA-1693,relates to
LINK-00471,BANK-4176,PORTAL-4557,relates to
LINK-00472,CLOUD-1364,CRM-2115,blocks
LINK-00473,SEC-4673,CLOUD-986,blocks
LINK-00474,CRM-809,DATA-3312,blocks
LINK-00475,ERP-893,CLOUD-2412,duplicates
LINK-00476,DATA-1704,SEC-101,relates to
LINK-00477,SEC-4752,BANK-3289,duplicates
LINK-00478,ERP-2160,MOB-1575,blocks
LINK-00479,CLOUD-3710,MOB-2610,is blocked by
LINK-00480,DATA-332,DATA-2754,is duplicated by
LINK-00481,CLOUD-4040,MOB-3136,relates to
LINK-00482,ERP-4513,MOB-3041,blocks
LINK-00483,BANK-397,ECOM-239,is duplicated by
LINK-00484,BI-1655,SEC-2923,relates to
LINK-00485,PORTAL-199,ERP-205,is duplicated by
LINK-00486,ECOM-2486,CRM-434,blocks
LINK-00487,BI-1284,BI-1865,is duplicated by
LINK-00488,SEC-3145,ECOM-3117,duplicates
LINK-00489,SEC-4764,SEC-1265,is duplicated by
LINK-00490,PORTAL-2790,DATA-4317,is blocked by
LINK-00491,CRM-378,BI-3391,is blocked by
LINK-00492,MOB-3150,PORTAL-3425,blocks
LINK-00493,SEC-4070,BI-628,relates to
LINK-00494,ECOM-3670,CRM-4204,relates to
LINK-00495,BI-2151,CLOUD-3140,duplicates
LINK-00496,PORTAL-1408,CLOUD-4714,relates to
LINK-00497,PORTAL-168,BI-2434,is blocked by
LINK-00498,CLOUD-3478,CLOUD-3632,relates to
LINK-00499,PORTAL-1115,SEC-467,is duplicated by
LINK-00500,BI-686,ERP-3693,duplicates
LINK-00501,MOB-3297,ERP-4685,relates to
LINK-00502,CRM-3805,BI-4291,is duplicated by
LINK-00503,BANK-1636,CLOUD-3287,is duplicated by
LINK-00504,DATA-355,ECOM-3726,is blocked by
LINK-00505,CLOUD-2545,MOB-965,is blocked by
LINK-00506,MOB-1546,PORTAL-2468,duplicates
LINK-00507,SEC-2814,PORTAL-1646,is duplicated by
LINK-00508,BI-3383,BANK-455,is duplicated by
LINK-00509,BANK-3862,BANK-2698,duplicates
LINK-00510,PORTAL-3473,CRM-1218,is blocked by
LINK-00511,PORTAL-1453,CLOUD-1712,is duplicated by
LINK-00512,BANK-3006,CLOUD-1404,is duplicated by
LINK-00513,ECOM-3891,ERP-3644,duplicates
LINK-00514,PORTAL-4303,BANK-4227,is duplicated by
LINK-00515,ERP-55,BI-3550,duplicates
LINK-00516,CLOUD-2545,MOB-4943,blocks
LINK-00517,CLOUD-1904,BI-1350,blocks
LINK-00518,PORTAL-1105,MOB-1802,is duplicated by
LINK-00519,ECOM-2631,CLOUD-3038,relates to
LINK-00520,ECOM-3670,ERP-3216,is duplicated by
LINK-00521,SEC-3164,BANK-110,blocks
LINK-00522,BI-3659,PORTAL-1395,blocks
LINK-00523,BI-4455,ERP-1258,blocks
LINK-00524,PORTAL-4662,BI-4104,is blocked by
