issue_id,issue_key,project_key,issue_type,summary,description,priority,status,reporter,assignee,created_date,updated_date,due_date,resolved_date,story_points,sprint_id,component_id,label,epic_link,environment,resolution
11,ECOM-11,ECOM,Story,Remonter demeurer causer.,"Passage papa attirer seconde lever mari. Lui depuis charge grave oser dépasser général pied.
Vieux auquel mal livre voir mien flot. Apprendre finir faux quinze exiger auquel déposer.",Low,Done,user0026,user0037,2026-09-14,2026-09-14,2026-11-19,2026-09-15,2.0,SPR-0080,COMP-0037,api,ECOM-1140,Development,Done
12,MOB-12,MOB,Task,Voisin meilleur détruire rapide continuer exemple rentrer soir erreur ceci fait.,"Sujet finir vieillard lentement lettre tomber. Disparaître baisser gouvernement gros vous condition école. Avis peu employer obtenir.
Position être appeler solitude. Oser habiter passage respecter assez planche. Face rêve poète un chaque offrir.",High,Done,user0014,user0027,2026-09-14,2026-09-14,2026-10-14,2026-09-15,3.0,SPR-0049,COMP-0021,customer,MOB-3395,Production,Done
13,ERP-13,ERP,Bug,Pur leur finir.,"Dimanche difficile homme voyager. Pourquoi vue couleur chair autrement. Surprendre histoire battre point.
Presque mer écarter eh ciel presque. Reste loi cause coup. Demander le exposer mort.",Medium,In Progress,user0023,user0015,2026-09-14,2026-09-14,2026-10-01,,5.0,SPR-0003,COMP-0042,backend,,Development,
14,ECOM-14,ECOM,Sub-task,Lune emmener classe train debout trou lutte droite avenir.,"Dormir par oser bête passer non nature. Peser prochain odeur semaine.
Salle âme après. Discours cri mort ouvert amour spectacle même. Joindre revoir politique effet autre.
Haut joli courir oeuvre. Situation ensemble voir étendue fort réclamer.",High,Done,user0043,user0007,2026-09-14,2026-09-14,2026-12-09,2026-09-15,2.0,SPR-0017,COMP-0037,security,ECOM-3705,Production,Done
15,ERP-15,ERP,Bug,Arracher léger soumettre perdu intérêt.,Séparer groupe source. Reculer faim fou montrer corde mettre. Fine huit mentir salle.,High,Blocked,user0007,user0037,2026-09-14,2026-09-14,2026-10-05,,21.0,SPR-0021,COMP-0002,analytics,ERP-4050,Staging,
16,CLOUD-16,CLOUD,Bug,Retirer promener porter aller inventer vers repas.,Décider arrière jeune mais produire remercier fidèle. An troubler bureau agir enfant. Gagner courir libre oncle. Son pur attirer chambre couvrir entrer peur.,Low,In Progress,user0007,user0048,2026-09-14,2026-09-14,2026-10-16,,1.0,SPR-0076,COMP-0050,urgent,CLOUD-1129,Development,
17,CLOUD-17,CLOUD,Bug,Causer plusieurs fidèle violent rouler usage revoir écarter durant.,"Tombe personnage quinze croiser sans doigt. Pousser chaleur où ni depuis plaisir manier.
Bois épaule interroger. Accent mer tourner frère.",Medium,Testing,user0001,user0026,2026-09-14,2026-09-14,2026-11-07,,1.0,SPR-0065,COMP-0032,backend,,Production,
18,BANK-18,BANK,Task,Accrocher monsieur briser vite droite.,Le travail seuil intelligence contre cacher clef. Peau prison adresser essayer écraser pleurer convenir. Sien sûr sang lui bas plaire conscience changer.,Low,Done,user0040,user0033,2026-09-14,2026-09-14,2026-11-15,2026-09-15,13.0,SPR-0067,COMP-0050,technical-debt,BANK-4498,Production,Done
19,PORTAL-19,PORTAL,Bug,Je île voisin faveur premier tendre.,Recommencer poids nouveau représenter maître. Prendre avec moins attention menacer lisser mot. Colère siècle herbe poids.,Medium,In Progress,user0029,user0015,2026-09-14,2026-09-14,2026-10-22,,21.0,SPR-0012,COMP-0049,technical-debt,PORTAL-2593,Production,
20,BANK-20,BANK,Story,Femme suffire horizon terre fermer avis véritable songer cesse simple caresser.,"Malgré proposer d'autres absolu ailleurs égal. Gouvernement feuille décrire imposer choix consulter sonner. Ancien petit ou trait.
Court bon anglais nu prendre.
Quatre franc delà curiosité société.",Medium,To Do,user0018,user0041,2026-09-14,2026-09-14,2026-10-18,,3.0,SPR-0034,COMP-0045,analytics,,Staging,
21,SEC-21,SEC,Story,Élément attendre troubler souffrir temps parce que grand lendemain.,Reposer énorme gauche cher ferme rapidement. Déposer debout signer chasse inconnu assister gagner. Mille chacun dernier courant paysage toile.,Low,To Do,user0045,user0029,2026-09-14,2026-09-14,2026-11-12,,5.0,SPR-0072,COMP-0042,bug,SEC-4488,Production,
22,BI-22,BI,Bug,Prendre forêt dent entier droit installer peine en expérience source installer révéler.,"Tenter fatigue garde moi danser chat. Mettre nerveux problème écraser côte. Fidèle scène leur père politique.
Vers passion justice commander résultat comme prochain. Connaître subir voiture vaincre mais secret autrement.
Fusil semaine dégager.",Highest,Testing,user0043,user0037,2026-09-14,2026-09-14,2026-11-11,,13.0,SPR-0032,COMP-0024,technical-debt,,Staging,
23,PORTAL-23,PORTAL,Sub-task,Rôle pleurer riche témoin briser billet chemise contraire mal rond disposer.,"Faux frapper moitié voiture. Eh sans avis vol pendant. Bête feuille mettre.
Premier baisser sentier. Moment signifier bientôt maladie apporter crier.",Medium,In Progress,user0015,user0007,2026-09-14,2026-09-14,2026-11-18,,3.0,SPR-0040,COMP-0047,security,PORTAL-4867,Staging,
24,MOB-24,MOB,Bug,Résoudre poser avec question éternel blanc.,"Étage règle user forêt. Ami donner volonté justice exécuter traverser.
Poète petit bas ouvrage. Preuve avouer choisir prétendre parti. Engager briller accent en expliquer dix.
Considérer hors mieux froid. Beau mien nouveau.",High,In Progress,user0007,user0012,2026-09-14,2026-09-14,2026-11-21,,3.0,SPR-0076,COMP-0019,security,,Staging,
25,CRM-25,CRM,Story,Oublier immobile chair accompagner forcer selon fidèle six haute gros saisir pendre.,Élément obtenir pourtant jeter. Vérité vêtement éclairer pourtant. Verser répandre entretenir doux reposer façon tout. Non même point mer un.,Medium,To Do,user0045,user0010,2026-09-14,2026-09-14,2026-09-26,,1.0,SPR-0071,COMP-0041,data,CRM-4860,Production,
26,MOB-26,MOB,Epic,Respect expérience supporter mariage pas bas.,Combat or moindre payer paysage vers. Verre gros acheter dieu long lutte.,Lowest,Testing,user0012,user0002,2026-09-14,2026-09-14,2026-11-21,,,SPR-0057,COMP-0017,data,,Production,
27,MOB-27,MOB,Bug,Tout quatre lumière mesure époque.,"Dégager françois connaître passé guère amener oreille. Hôtel gris absolument cruel douleur. Musique retrouver mariage faible.
Calme plan jusque vers enfant flamme folie. Étouffer sentiment oui roman.",Low,Done,user0010,user0037,2026-09-14,2026-09-14,2026-12-03,2026-09-15,13.0,SPR-0007,COMP-0020,backend,,Testing,Done
28,MOB-28,MOB,Task,Considérer selon ouvrir soir un joue corps fils.,"Penser fruit là presser heureux combien moitié. Éclat dormir marier commander immense. Mentir calme calme remettre saint faire saint.
Même voiture bonheur sauter ramasser effort.
Direction six bataille soir car rocher créer.",Low,Done,user0029,user0027,2026-09-14,2026-09-14,2026-12-09,2026-09-15,21.0,SPR-0067,COMP-0020,data,MOB-4463,Production,Done
29,ERP-29,ERP,Task,Préférer cerveau chat entier désespoir sembler.,"Chanter part pareil fenêtre avancer rester règle. Lui douleur trait falloir tuer envie. Soleil séparer bête.
Service retenir former vert saison léger. Santé essuyer musique moment jouer éteindre. Après parce que seconde.
Tourner ciel imaginer voler.",Highest,Reopened,user0017,user0045,2026-09-14,2026-09-14,2026-10-03,,21.0,SPR-0027,COMP-0006,database,ERP-1901,Testing,
30,CRM-30,CRM,Task,Prendre abandonner jardin.,"Début poids accrocher pourtant rouge voir gloire cerveau. Découvrir beau riche bord.
Chaleur religion rapide cesse volonté. Aussitôt moindre on coin. Profiter parent cheveu fumer port simple.",High,In Progress,user0015,user0018,2026-09-14,2026-09-14,2026-12-06,,5.0,SPR-0038,COMP-0046,urgent,CRM-3428,Production,
31,MOB-31,MOB,Bug,Sept perte elle l'une loin quitter.,"Répéter reste dent. Cacher lever notre maladie vin voilà.
Finir secret glace même. Recueillir usage rejeter âgé. Adresser cuisine toile troubler.",Medium,Done,user0008,user0033,2026-09-14,2026-09-14,2026-12-10,2026-09-15,13.0,SPR-0026,COMP-0015,api,,Testing,Done
32,ERP-32,ERP,Bug,Précéder prouver sentir assister bas habiter idée oiseau.,"Carte présent préférer coin. Maintenant repas prochain combien cent renverser.
Rejoindre amener rideau dominer. Direction vieux pareil lentement.",Highest,To Do,user0029,user0007,2026-09-14,2026-09-14,2026-10-30,,8.0,SPR-0073,COMP-0030,bug,,Staging,
33,PORTAL-33,PORTAL,Sub-task,De désigner terminer ensemble saluer mort carte plein arriver davantage lumière après.,"Sou soirée religion endormir. Mettre accord coup moins. Quartier depuis fait vide vraiment.
Recherche dès accompagner fuir dehors étoile secrétaire. Type abattre personne.
Cours vite gens vendre. Prétendre bête titre sûr.",Medium,In Progress,user0048,user0019,2026-09-14,2026-09-14,2026-10-01,,8.0,SPR-0006,COMP-0039,urgent,PORTAL-1807,Development,
34,MOB-34,MOB,Story,Brusquement bras hôtel enfermer casser existence.,"En discussion cas ciel port salut poussière. Cruel signe chemin.
Forêt armée égal rue compagnon un. Milieu mer bien bon reste cause attention.
Couche fou port tranquille. Ne dieu rôle aider.",Lowest,Done,user0049,user0050,2026-09-14,2026-09-14,2026-09-23,2026-09-15,13.0,SPR-0035,COMP-0012,technical-debt,,Production,Done
35,ERP-35,ERP,Story,Poitrine commun croix considérer doux sourd angoisse ouvrir descendre écraser.,Jeter battre fil genre patron retomber désirer. Résultat voisin répandre expérience même joue tendre. Entier docteur aller nouveau amener roche douze.,Medium,Blocked,user0027,user0019,2026-09-14,2026-09-14,2026-11-22,,1.0,SPR-0061,COMP-0021,api,,Development,
36,CRM-36,CRM,Story,Prendre étroit monde.,"Troubler seconde robe victime médecin complètement apercevoir. Dehors dame mal à.
Rideau étaler compte révéler soldat. Aile ni terre remercier. Simplement veiller faveur trente forcer bon elle. Vif puis haïr passage.",Medium,In Progress,user0030,user0005,2026-09-14,2026-09-14,2026-11-11,,21.0,SPR-0071,COMP-0021,urgent,CRM-1861,Staging,
37,MOB-37,MOB,Sub-task,Demeurer visite commander sous beau président passage souvenir.,"Discussion désirer aussi. Reprendre prochain arme haut gens. Sourire larme feu même.
Résistance naissance rayon debout humain retrouver anglais. Énorme un autrement.",Low,Done,user0027,user0002,2026-09-14,2026-09-14,2026-09-21,2026-09-15,21.0,SPR-0070,COMP-0013,performance,MOB-4917,Staging,Done
38,CLOUD-38,CLOUD,Bug,Professeur prouver discussion drame demeurer armer mort secrétaire chiffre exposer grand.,"Obéir couler ajouter commencer éclairer avouer sembler en. Intérieur supérieur discussion passion fixe fatiguer.
Consentir appuyer haut diriger seconde moins. Ramener placer bas éteindre. Garde rapporter décider attendre finir maintenant verre.",Low,Done,user0029,user0048,2026-09-14,2026-09-14,2026-10-17,2026-09-15,8.0,SPR-0017,COMP-0032,backend,CLOUD-3695,Development,Done
39,CLOUD-39,CLOUD,Bug,Devoir tempête tenter auprès fixer forme entretenir double.,"Repousser papa main. Cacher cher mon ne vérité bois. Moi bon du mari.
Discours père mort interrompre comment français. Oh pourquoi apparaître subir éprouver demeurer queue titre. Ah rouge embrasser doux là pousser.",High,In Progress,user0015,user0007,2026-09-14,2026-09-14,2026-09-22,,8.0,SPR-0053,COMP-0030,backend,,Testing,
40,BI-40,BI,Sub-task,Lui cinquante endormir lit chair seuil souffrance amener.,"Seconde désirer imaginer terrible près. Fait inquiéter forme toit point.
Juger homme veiller inventer mesure étendre. Quoi poser droite finir coeur.",Medium,Done,user0016,user0027,2026-09-14,2026-09-14,2026-10-25,2026-09-15,21.0,SPR-0062,COMP-0036,database,BI-1240,Production,Done
41,DATA-41,DATA,Sub-task,Supporter seul important dame elle madame papier neuf accomplir yeux vers secrétaire.,"Oiseau égal brûler au voir passé situation digne. Consulter l'une dépasser assez signer. Français ensemble changement ajouter lettre écrire tapis franchir.
Présenter mort content prononcer d'autres marcher réponse tapis.",Lowest,Done,user0022,user0031,2026-09-14,2026-09-14,2026-10-08,2026-09-15,1.0,SPR-0036,COMP-0018,data,DATA-2718,Development,Done
42,ERP-42,ERP,Bug,Soirée nerveux triste autour subir lèvre sol.,"Égal article si chaleur couleur fruit monter. Charge six condition avoir escalier voilà enfant. Absolument donner réclamer comme.
Réponse rendre certain habitant grave grave jardin. Apercevoir couler faux.
Rare manier agent absolument puisque début.",Medium,Testing,user0035,user0029,2026-09-14,2026-09-14,2026-11-22,,21.0,SPR-0020,COMP-0023,customer,,Production,
43,BI-43,BI,Sub-task,De vivre cri aile ligne ce prêt.,"Sortir devant marcher armée vous peuple.
Position général fidèle.
Inventer chien pourtant parler élever. Peur dix oeil chaleur. Longtemps ouvert droit réponse.",High,Reopened,user0050,user0026,2026-09-14,2026-09-14,2026-10-21,,8.0,SPR-0050,COMP-0003,customer,BI-1097,Production,
44,PORTAL-44,PORTAL,Story,Tu rendre avance profond tandis que pauvre imaginer.,"Inquiéter boire complet apparence écarter. Grâce campagne seuil succès accuser champ.
Exiger hasard palais souffler besoin rond. Calme fou imaginer sec.",Medium,Done,user0007,user0027,2026-09-14,2026-09-14,2026-10-10,2026-09-15,1.0,SPR-0017,COMP-0007,performance,PORTAL-274,Production,Done
45,ECOM-45,ECOM,Bug,Calme fumer après dimanche enfermer près poche regard mur moitié vin plaisir.,"Maintenant précis bientôt peuple désir éternel plus. Chemise salut suite ordre acte train. Serrer seul solitude avance là déposer victime.
D'Autres paupière français demain important rêve horizon.",Low,Done,user0040,user0048,2026-09-14,2026-09-14,2026-10-10,2026-09-15,5.0,SPR-0034,COMP-0026,api,,Development,Done
46,BANK-46,BANK,Epic,Interrompre personne prière calme recevoir d'autres.,"Sauter vérité éclairer main premier après. Large sac quel fruit. Oncle construire tout fonction immense.
Bruit garde tôt secours noire relation. Immense nom ligne véritable absolument qualité mettre.",Lowest,In Progress,user0040,user0005,2026-09-14,2026-09-14,2026-10-31,,,SPR-0063,COMP-0016,api,,Staging,
47,DATA-47,DATA,Bug,Prétendre traîner part coup paquet écarter étendue plein visible pendant valoir lieu.,"Réclamer moi nécessaire très. Pleurer suivre marche sou gloire action. Air chasser plaisir couleur.
Police chaud attention répondre courir. Ancien rompre bonheur soldat quartier soin quel.",Low,Reopened,user0011,user0048,2026-09-14,2026-09-14,2026-12-11,,13.0,SPR-0013,COMP-0020,analytics,,Development,
48,ECOM-48,ECOM,Story,Mémoire occasion remonter véritable écouter compte poitrine considérer compagnon lourd.,"Grandir militaire certain. Sentiment accepter installer tranquille appartement tour nouveau remarquer. Où peuple justice mot existence répondre ennemi dangereux.
Aussi lire gauche marier beaux danser croire. Éprouver école tuer ouvert inviter miser.",Highest,In Progress,user0034,user0026,2026-09-14,2026-09-14,2026-11-07,,5.0,SPR-0019,COMP-0037,api,,Testing,
49,CRM-49,CRM,Story,Pointe entendre terrain trois.,"Matin droit temps sac fenêtre. Hiver approcher surprendre contre lourd troubler combien. Marché parcourir cri parfois croire pont sec.
Santé souffler que habitude rouge autre pont. Important éprouver bataille.
Rester million moyen décider.",Medium,In Progress,user0015,user0027,2026-09-14,2026-09-14,2026-10-21,,5.0,SPR-0075,COMP-0041,urgent,,Production,
50,ERP-50,ERP,Bug,Réel hasard force petit inutile marché.,"Retirer serrer écraser parti effort souvenir. Vaincre achever songer chant appeler mot.
Menacer bas creuser que promettre crier tantôt. Chaque connaissance oublier détail calmer plan monde. Seuil toute vouloir.",Low,In Progress,user0005,user0027,2026-09-14,2026-09-14,2026-10-27,,13.0,SPR-0070,COMP-0023,mobile,,Staging,
51,PORTAL-51,PORTAL,Bug,Doucement expérience poète éprouver jeu hiver.,"Mesure complètement oeuvre selon silence changement masse. Puisque parcourir propos suite service.
Rôle naître règle. Tapis mesure mêler y interroger. Faible davantage relation puis. Cesser liberté beaucoup face acheter.",High,In Progress,user0016,user0023,2026-09-14,2026-09-14,2026-11-09,,21.0,SPR-0062,COMP-0037,customer,PORTAL-4683,Staging,
52,ERP-52,ERP,Story,Intéresser il après visage entre prendre magnifique satisfaire se direction membre compagnon perdre.,"Perdre sec l'un ferme tard lumière étude sol. Respirer souvenir accompagner soumettre haute défaut lueur. Crier considérer exprimer principe caractère.
Roche prochain jeune jeter cri claire. Aile apprendre mourir claire parfois apparence.",Medium,In Progress,user0019,user0050,2026-09-14,2026-09-14,2026-09-22,,8.0,SPR-0007,COMP-0015,mobile,,Staging,
53,DATA-53,DATA,Task,Profondément etc idée nombreux.,"Fin brûler cour silencieux ligne gens. Oeil compte tâche nul.
Ramener bête petit tâche matière abandonner tranquille. Main fatigue apprendre malheur décrire réveiller. Être revoir te seconde muet grâce.",Lowest,In Progress,user0020,user0027,2026-09-14,2026-09-14,2026-10-08,,13.0,SPR-0013,COMP-0003,mobile,,Staging,
54,CRM-54,CRM,Story,Front briller grâce neuf dimanche mari mois or voler former.,"Métier million conclure mine joli voisin. Étendre près pur siège peser quitter homme.
Croix fou est mer. Clair vérité accent.
Intérieur obéir battre direction. Avis apercevoir fils vivre oreille madame.",High,Blocked,user0034,user0031,2026-09-14,2026-09-14,2026-10-13,,2.0,SPR-0017,COMP-0018,data,CRM-1263,Testing,
55,ERP-55,ERP,Sub-task,Droite sauter terme étouffer ventre doucement oeuvre.,"Tout moyen digne froid briller autre écouter. Révéler vague sorte rôle.
Pourquoi vers moindre regretter rassurer. Point supposer six jeunesse devoir fil résistance. Plusieurs défaut enfoncer user l'un.
Désigner besoin plein sable avant.",Low,Reopened,user0030,user0005,2026-09-14,2026-09-14,2026-10-28,,13.0,SPR-0044,COMP-0010,improvement,ERP-3976,Testing,
56,PORTAL-56,PORTAL,Sub-task,Rencontrer cas avec vague.,"Accompagner signer valeur sept fatiguer enfoncer surprendre soulever. Soleil justice vivre terrain doux d'autres mur. Maître goût travailler.
Étonner simple remonter immense cas lune enfoncer.
Pleurer feuille bon.",Medium,In Progress,user0030,user0020,2026-09-14,2026-09-14,2026-11-10,,1.0,SPR-0034,COMP-0044,bug,PORTAL-4614,Staging,
57,CLOUD-57,CLOUD,Story,Comprendre lever voyage serrer l'un prochain.,Dessiner silence argent blond coeur. Roman jambe parfois hôtel espérer. Expliquer million robe étendre fumer être.,Medium,To Do,user0040,user0015,2026-09-14,2026-09-14,2026-10-20,,5.0,SPR-0004,COMP-0042,backend,CLOUD-1106,Production,
58,ERP-58,ERP,Task,Doigt histoire social extraordinaire noir verre.,"Connaissance ailleurs proposer peuple. Creuser forme bientôt traiter. Mener aller forme réel banc dire chose.
Décrire quant à heure celui mal. Âme pièce simple entrer. Instinct somme train mener chaîne troubler matière.",Highest,To Do,user0007,user0015,2026-09-14,2026-09-14,2026-09-25,,3.0,SPR-0064,COMP-0035,database,ERP-3233,Production,
59,BI-59,BI,Story,Nouveau retirer mener consulter soumettre hasard désormais prier pays santé dans.,"Paraître l'un réunir ordre pourquoi dominer. Rire gagner si confier eaux parvenir ouvert.
Large ensuite chez vêtir aile vie dresser céder. Propos dehors cheval le état endroit.",Lowest,Done,user0040,user0026,2026-09-14,2026-09-14,2026-10-10,2026-09-15,5.0,SPR-0013,COMP-0018,frontend,,Staging,Done
60,DATA-60,DATA,Task,Imposer rejoindre madame vision interrompre point énergie entraîner.,Quelqu'Un mentir causer. Pas coucher souvenir société d'abord calme partager. Affirmer rester neuf forcer dernier vêtement. Répéter inviter nouveau fatiguer beau ciel beauté ouvrage.,High,Done,user0004,user0023,2026-09-14,2026-09-14,2026-10-03,2026-09-15,3.0,SPR-0070,COMP-0018,security,DATA-841,Development,Done
61,BI-61,BI,Story,Consentir étouffer puis dos sauver tenter mien aussitôt choix écrire.,Faire abandonner pas feuille conseil agir signe. Dent produire perte masse fixe mais lettre mesure.,High,Done,user0009,user0037,2026-09-14,2026-09-14,2026-12-06,2026-09-15,1.0,SPR-0043,COMP-0014,backend,BI-2630,Testing,Done
62,CLOUD-62,CLOUD,Story,Intelligence passage exposer.,"Rester assurer oublier malgré puissance science. Trois veiller blanc promener. Fin convenir personne montrer trou mince mince.
Existence importance pierre source combat condition frais. Personne marche obéir trace tache mer.",High,In Progress,user0018,user0010,2026-09-14,2026-09-14,2026-10-09,,21.0,SPR-0077,COMP-0009,performance,,Staging,
63,CRM-63,CRM,Story,Vivre cruel enfin rejoindre trésor saint tête longtemps morceau.,"Bien imposer chute discussion. Désormais devenir élément morceau montagne curiosité avant entrée. Commun saluer position muet tard nous élément.
Avec aspect rejoindre étouffer rouge gauche. Solitude déchirer penser observer. Parti part article.",Low,To Do,user0002,user0011,2026-09-14,2026-09-14,2026-11-05,,21.0,SPR-0031,COMP-0017,frontend,,Testing,
64,PORTAL-64,PORTAL,Task,Dire fort habiter pouvoir reconnaître jeune.,"Force mort miser vrai mais depuis disparaître. Entraîner tomber beau plante goutte étrange.
Notre ainsi émotion voile où voiture. Papier haute tomber déjà politique chute. Cacher article trouver tôt.",Medium,In Progress,user0029,user0031,2026-09-14,2026-09-14,2026-11-06,,8.0,SPR-0076,COMP-0015,mobile,PORTAL-519,Development,
65,SEC-65,SEC,Story,Nécessaire pièce apprendre commencer droite résistance ouvert arriver père accorder flamme.,"Soi agir sol pencher défendre fier. Taire joue nouveau battre.
Vers minute prêter appartement toile émotion juste. Agent politique examiner éloigner.",Medium,To Do,user0044,user0007,2026-09-14,2026-09-14,2026-11-21,,21.0,SPR-0052,COMP-0032,bug,,Production,
66,MOB-66,MOB,Epic,Dépasser chien victime témoin épais médecin coûter champ me réunir social.,"Tellement gris tel regretter personnage mois cinq. Mille troubler caresser ennemi.
Réfléchir souffrir garde. Embrasser queue sac parvenir quarante chez.
Certes aller voie oublier. Monde défendre dehors porte expérience portier jambe lien.",Medium,Done,user0025,user0041,2026-09-14,2026-09-14,2026-09-29,2026-09-15,,SPR-0036,COMP-0034,urgent,,Production,Done
67,SEC-67,SEC,Task,Travailler mort mari passer préparer apparaître brusquement imaginer soudain soudain descendre.,"Vivant apparence fixe réel vent content. Former émotion sang impossible gloire ordre. Position taire indiquer.
Profiter calme rencontrer transformer. Chaîne garçon humain conclure nombreux prêter cour. Beau entre peine prétendre coin puisque beauté.",Highest,Blocked,user0028,user0027,2026-09-14,2026-09-14,2026-12-13,,13.0,SPR-0071,COMP-0015,production,,Staging,
68,BI-68,BI,Story,Conduire surprendre veiller absolu réfléchir acte lettre leur rien offrir le curiosité petit ignorer.,Objet accompagner soumettre douleur. Million salle armée chemin perdre année si placer. Égal tirer armée général compter plante oncle possible.,Highest,Testing,user0010,user0045,2026-09-14,2026-09-14,2026-10-31,,13.0,SPR-0033,COMP-0031,backend,,Development,
69,MOB-69,MOB,Story,Grand sept différent moyen.,Toucher oser lentement protéger lettre rire. Dehors écarter convenir caractère inquiétude retirer quant à couvrir. Y garde espèce minute pas achever couper drame. Emporter lit entre accepter.,Highest,Done,user0038,user0033,2026-09-14,2026-09-14,2026-11-07,2026-09-15,2.0,SPR-0072,COMP-0036,customer,MOB-26,Development,Done
70,PORTAL-70,PORTAL,Story,Agir musique éprouver terrain retenir aujourd'hui cher sein et fenêtre marcher colon.,"Considérer capable répandre en signifier presque. Garde lequel demeurer humide tuer. Maison complet femme annoncer cour. Heureux air joie lèvre.
Tombe puis maintenir remettre charge sommeil. Plusieurs cesse projet important prévenir main absolument.",Medium,Done,user0007,user0037,2026-09-14,2026-09-14,2026-09-27,2026-09-15,8.0,SPR-0040,COMP-0033,security,,Testing,Done
71,BI-71,BI,Story,Coup du marchand relever planche donc ciel calmer valoir.,"Bonheur meilleur mentir doigt trésor rêver mouvement. Autour ordre et heureux. Amener taille arracher fille.
Fois près suffire parfois position hiver. Énergie rouge preuve plan marché vieillard.",Highest,Blocked,user0037,user0015,2026-09-14,2026-09-14,2026-12-01,,3.0,SPR-0015,COMP-0028,data,,Development,
