history_id,issue_key,old_status,new_status,changed_by,changed_date
198,PORTAL-70,,To Do,user0038,2026-09-14
199,PORTAL-70,To Do,In Progress,user0012,2026-09-16
200,PORTAL-70,In Progress,Testing,user0049,2026-09-28
201,PORTAL-70,Testing,Done,user0003,2026-09-17
202,BI-71,,To Do,user0046,2026-09-14
203,BI-71,To Do,In Progress,user0034,2026-09-20
204,BI-71,In Progress,Blocked,user0043,2026-09-18
205,CLOUD-72,,To Do,user0020,2026-09-14
206,CLOUD-73,,To Do,user0044,2026-09-14
207,BANK-74,,To Do,user0046,2026-09-14
208,BANK-74,To Do,In Progress,user0008,2026-09-19
209,BANK-74,In Progress,Testing,user0003,2026-09-18
210,BANK-74,Testing,Done,user0025,2026-10-02
211,ERP-75,,To Do,user0007,2026-09-14
212,ERP-75,To Do,In Progress,user0033,2026-09-15
213,ERP-75,In Progress,Blocked,user0021,2026-09-20
214,SEC-76,,To Do,user0032,2026-09-14
215,SEC-76,To Do,In Progress,user0018,2026-09-15
216,ERP-77,,To Do,user0038,2026-09-14
217,ERP-77,To Do,In Progress,user0027,2026-09-16
218,ERP-77,In Progress,Blocked,user0001,2026-09-20
219,MOB-78,,To Do,user0049,2026-09-14
220,MOB-78,To Do,In Progress,user0018,2026-09-18
221,MOB-78,In Progress,Testing,user0024,2026-09-16
222,MOB-78,Testing,Done,user0007,2026-10-05
223,ERP-79,,To Do,user0033,2026-09-14
224,ERP-79,To Do,In Progress,user0012,2026-09-16
225,SEC-80,,To Do,user0019,2026-09-14
226,SEC-80,To Do,In Progress,user0015,2026-09-15
227,SEC-80,In Progress,Blocked,user0046,2026-09-26
228,BANK-81,,To Do,user0011,2026-09-14
229,BANK-81,To Do,In Progress,user0047,2026-09-20
230,CRM-82,,To Do,user0024,2026-09-14
231,CRM-82,To Do,In Progress,user0005,2026-09-15
232,BANK-83,,To Do,user0009,2026-09-14
233,BANK-83,To Do,In Progress,user0012,2026-09-16
234,BANK-83,In Progress,Testing,user0048,2026-09-18
235,BI-84,,To Do,user0047,2026-09-14
236,BI-84,To Do,In Progress,user0008,2026-09-21
237,BI-84,In Progress,Testing,user0037,2026-09-18
238,BI-84,Testing,Done,user0041,2026-09-29
239,BI-85,,To Do,user0009,2026-09-14
240,BI-85,To Do,In Progress,user0035,2026-09-20
241,BI-85,In Progress,Testing,user0033,2026-09-20
242,BI-85,Testing,Done,user0019,2026-09-17
243,MOB-86,,To Do,user0032,2026-09-14
244,BANK-87,,To Do,user0021,2026-09-14
245,BANK-87,To Do,In Progress,user0012,2026-09-15
246,BANK-87,In Progress,Testing,user0007,2026-09-18
247,BANK-87,Testing,Done,user0018,2026-10-02
248,CLOUD-88,,To Do,user0040,2026-09-14
249,CLOUD-89,,To Do,user0026,2026-09-14
250,CLOUD-89,To Do,In Progress,user0006,2026-09-21
251,PORTAL-90,,To Do,user0045,2026-09-14
252,PORTAL-90,To Do,In Progress,user0006,2026-09-21
253,MOB-91,,To Do,user0038,2026-09-14
254,MOB-91,To Do,In Progress,user0015,2026-09-17
255,MOB-91,In Progress,Testing,user0010,2026-09-26
256,MOB-91,Testing,Done,user0001,2026-09-17
257,CLOUD-92,,To Do,user0040,2026-09-14
258,CLOUD-92,To Do,In Progress,user0033,2026-09-18
259,CLOUD-92,In Progress,Testing,user0020,2026-09-26
260,CLOUD-92,Testing,Done,user0012,2026-10-02
261,DATA-93,,To Do,user0043,2026-09-14
262,DATA-93,To Do,In Progress,user0006,2026-09-19
263,DATA-93,In Progress,Testing,user0019,2026-09-28
264,DATA-93,Testing,Done,user0016,2026-10-02
265,DATA-93,Done,Reopened,user0021,2026-10-08
266,PORTAL-94,,To Do,user0008,2026-09-14
267,SEC-95,,To Do,user0042,2026-09-14
268,SEC-95,To Do,In Progress,user0042,2026-09-19
269,SEC-95,In Progress,Testing,user0045,2026-09-20
270,MOB-96,,To Do,user0008,2026-09-14
271,MOB-96,To Do,In Progress,user0037,2026-09-19
272,MOB-96,In Progress,Testing,user0039,2026-09-22
273,MOB-96,Testing,Done,user0035,2026-10-05
274,MOB-97,,To Do,user0006,2026-09-14
275,MOB-97,To Do,In Progress,user0027,2026-09-18
276,MOB-97,In Progress,Testing,user0002,2026-09-18
277,CRM-98,,To Do,user0007,2026-09-14
278,CRM-98,To Do,In Progress,user0042,2026-09-19
279,CRM-98,In Progress,Blocked,user0049,2026-09-26
280,MOB-99,,To Do,user0007,2026-09-14
281,MOB-99,To Do,In Progress,user0018,2026-09-17
282,MOB-99,In Progress,Testing,user0014,2026-09-28
283,SEC-100,,To Do,user0008,2026-09-14
284,SEC-100,To Do,In Progress,user0028,2026-09-21
285,SEC-101,,To Do,user0029,2026-09-14
286,SEC-101,To Do,In Progress,user0006,2026-09-15
287,SEC-101,In Progress,Testing,user0019,2026-09-26
288,BANK-102,,To Do,user0001,2026-09-14
289,BANK-102,To Do,In Progress,user0044,2026-09-17
290,CRM-103,,To Do,user0036,2026-09-14
291,CRM-103,To Do,In Progress,user0009,2026-09-19
292,CRM-103,In Progress,Testing,user0002,2026-09-28
293,CRM-103,Testing,Done,user0017,2026-09-26
294,ECOM-104,,To Do,user0023,2026-09-14
295,ECOM-104,To Do,In Progress,user0010,2026-09-18
296,ECOM-104,In Progress,Testing,user0041,2026-09-26
297,ECOM-104,Testing,Done,user0041,2026-09-17
298,ERP-105,,To Do,user0040,2026-09-14
299,ERP-105,To Do,In Progress,user0013,2026-09-19
300,ERP-105,In Progress,Testing,user0012,2026-09-26
301,ERP-105,Testing,Done,user0032,2026-10-02
302,BANK-106,,To Do,user0028,2026-09-14
303,BANK-106,To Do,In Progress,user0024,2026-09-21
304,BANK-106,In Progress,Testing,user0042,2026-09-18
305,BANK-106,Testing,Done,user0043,2026-10-02
306,CLOUD-107,,To Do,user0014,2026-09-14
307,CLOUD-107,To Do,In Progress,user0030,2026-09-19
308,CLOUD-107,In Progress,Testing,user0024,2026-09-18
309,CRM-108,,To Do,user0047,2026-09-14
310,BANK-109,,To Do,user0009,2026-09-14
311,BANK-109,To Do,In Progress,user0048,2026-09-15
312,BANK-109,In Progress,Testing,user0021,2026-09-26
313,BANK-109,Testing,Done,user0023,2026-09-26
314,BANK-109,Done,Reopened,user0045,2026-09-30
315,BANK-110,,To Do,user0030,2026-09-14
316,SEC-111,,To Do,user0046,2026-09-14
317,SEC-111,To Do,In Progress,user0049,2026-09-15
318,ERP-112,,To Do,user0029,2026-09-14
319,ERP-112,To Do,In Progress,user0005,2026-09-21
320,ERP-112,In Progress,Blocked,user0030,2026-09-18
321,MOB-113,,To Do,user0040,2026-09-14
322,MOB-113,To Do,In Progress,user0018,2026-09-17
323,MOB-113,In Progress,Testing,user0002,2026-09-26
324,MOB-113,Testing,Done,user0015,2026-09-17
325,BANK-114,,To Do,user0023,2026-09-14
326,BANK-114,To Do,In Progress,user0029,2026-09-19
327,BANK-114,In Progress,Testing,user0021,2026-09-18
328,BANK-114,Testing,Done,user0013,2026-10-05
329,BANK-114,Done,Reopened,user0042,2026-09-22
330,SEC-115,,To Do,user0011,2026-09-14
331,BANK-116,,To Do,user0050,2026-09-14
332,BANK-116,To Do,In Progress,user0038,2026-09-20
333,BANK-116,In Progress,Testing,user0003,2026-09-22
334,MOB-117,,To Do,user0043,2026-09-14
335,MOB-117,To Do,In Progress,user0002,2026-09-16
336,SEC-118,,To Do,user0036,2026-09-14
337,SEC-118,To Do,In Progress,user0036,2026-09-18
338,SEC-118,In Progress,Blocked,user0031,2026-09-24
339,CLOUD-119,,To Do,user0028,2026-09-14
340,CLOUD-120,,To Do,user0008,2026-09-14
341,CLOUD-120,To Do,In Progress,user0012,2026-09-19
342,CLOUD-120,In Progress,Testing,user0004,2026-09-28
343,CLOUD-120,Testing,Done,user0044,2026-10-02
344,MOB-121,,To Do,user0045,2026-09-14
345,MOB-121,To Do,In Progress,user0035,2026-09-16
346,MOB-121,In Progress,Testing,user0023,2026-09-26
347,MOB-121,Testing,Done,user0003,2026-09-23
348,PORTAL-122,,To Do,user0001,2026-09-14
349,PORTAL-122,To Do,In Progress,user0026,2026-09-16
350,PORTAL-122,In Progress,Testing,user0006,2026-09-28
351,ECOM-123,,To Do,user0025,2026-09-14
352,ECOM-123,To Do,In Progress,user0034,2026-09-21
353,ECOM-123,In Progress,Testing,user0017,2026-09-26
354,ECOM-123,Testing,Done,user0044,2026-09-23
355,BI-124,,To Do,user0007,2026-09-14
356,BI-124,To Do,In Progress,user0028,2026-09-17
357,BI-124,In Progress,Testing,user0042,2026-09-26
358,BI-124,Testing,Done,user0011,2026-09-20
359,ECOM-125,,To Do,user0035,2026-09-14
360,ECOM-125,To Do,In Progress,user0034,2026-09-17
361,ECOM-125,In Progress,Blocked,user0040,2026-09-16
362,ERP-126,,To Do,user0002,2026-09-14
363,ERP-126,To Do,In Progress,user0001,2026-09-18
364,SEC-127,,To Do,user0022,2026-09-14
365,SEC-127,To Do,In Progress,user0042,2026-09-21
366,SEC-127,In Progress,Testing,user0040,2026-09-26
367,SEC-127,Testing,Done,user0012,2026-09-29
368,SEC-128,,To Do,user0029,2026-09-14
369,BI-129,,To Do,user0005,2026-09-14
370,BI-129,To Do,In Progress,user0031,2026-09-17
371,BI-129,In Progress,Testing,user0022,2026-09-16
372,BI-129,Testing,Done,user0048,2026-10-02
373,CLOUD-130,,To Do,user0020,2026-09-14
374,CLOUD-130,To Do,In Progress,user0050,2026-09-19
375,CLOUD-130,In Progress,Testing,user0044,2026-09-22
376,CLOUD-131,,To Do,user0031,2026-09-14
377,CLOUD-131,To Do,In Progress,user0038,2026-09-16
378,CLOUD-131,In Progress,Blocked,user0011,2026-09-16
379,SEC-132,,To Do,user0037,2026-09-14
380,SEC-132,To Do,In Progress,user0007,2026-09-19
381,SEC-132,In Progress,Testing,user0016,2026-09-20
382,SEC-132,Testing,Done,user0018,2026-09-20
383,BI-133,,To Do,user0015,2026-09-14
384,BI-133,To Do,In Progress,user0035,2026-09-16
385,BI-133,In Progress,Testing,user0014,2026-09-20
386,BI-133,Testing,Done,user0040,2026-09-17
387,SEC-134,,To Do,user0009,2026-09-14
388,SEC-134,To Do,In Progress,user0039,2026-09-18
389,SEC-134,In Progress,Blocked,user0033,2026-09-22
390,ERP-135,,To Do,user0042,2026-09-14
391,ERP-135,To Do,In Progress,user0014,2026-09-16
392,BANK-136,,To Do,user0004,2026-09-14
393,BANK-136,To Do,In Progress,user0012,2026-09-20
394,BANK-136,In Progress,Testing,user0004,2026-09-28
395,BANK-136,Testing,Done,user0022,2026-09-29
396,ERP-137,,To Do,user0010,2026-09-14
397,CRM-138,,To Do,user0042,2026-09-14
398,CRM-138,To Do,In Progress,user0026,2026-09-17
399,BANK-139,,To Do,user0022,2026-09-14
400,BANK-139,To Do,In Progress,user0034,2026-09-19
401,BANK-139,In Progress,Testing,user0013,2026-09-16
402,BANK-139,Testing,Done,user0017,2026-09-23
403,ERP-140,,To Do,user0022,2026-09-14
404,ERP-140,To Do,In Progress,user0023,2026-09-19
405,ERP-140,In Progress,Testing,user0023,2026-09-22
406,ERP-140,Testing,Done,user0040,2026-10-02
407,ERP-140,Done,Reopened,user0024,2026-10-12
408,CRM-141,,To Do,user0038,2026-09-14
409,CRM-141,To Do,In Progress,user0031,2026-09-21
410,CRM-141,In Progress,Testing,user0017,2026-09-26
411,CRM-141,Testing,Done,user0016,2026-10-02
412,CRM-141,Done,Reopened,user0039,2026-10-12
413,ECOM-142,,To Do,user0023,2026-09-14
414,MOB-143,,To Do,user0017,2026-09-14
415,MOB-143,To Do,In Progress,user0049,2026-09-17
416,MOB-143,In Progress,Testing,user0043,2026-09-26
417,MOB-143,Testing,Done,user0043,2026-10-02
418,CLOUD-144,,To Do,user0046,2026-09-14
419,CLOUD-144,To Do,In Progress,user0037,2026-09-20
420,CLOUD-144,In Progress,Testing,user0009,2026-09-26
421,CLOUD-144,Testing,Done,user0044,2026-10-05
422,BANK-145,,To Do,user0038,2026-09-14
423,BANK-145,To Do,In Progress,user0018,2026-09-17
424,ERP-146,,To Do,user0024,2026-09-14
425,MOB-147,,To Do,user0039,2026-09-14
426,MOB-147,To Do,In Progress,user0012,2026-09-15
427,MOB-147,In Progress,Blocked,user0034,2026-09-28
428,PORTAL-148,,To Do,user0005,2026-09-14
429,PORTAL-148,To Do,In Progress,user0007,2026-09-21
430,PORTAL-148,In Progress,Testing,user0029,2026-09-28
431,PORTAL-148,Testing,Done,user0037,2026-10-02
432,MOB-149,,To Do,user0019,2026-09-14
433,DATA-150,,To Do,user0019,2026-09-14
434,SEC-151,,To Do,user0009,2026-09-14
435,SEC-151,To Do,In Progress,user0033,2026-09-16
436,SEC-151,In Progress,Blocked,user0010,2026-09-18
437,MOB-152,,To Do,user0041,2026-09-14
438,MOB-152,To Do,In Progress,user0022,2026-09-19
439,MOB-152,In Progress,Testing,user0033,2026-09-26
440,MOB-152,Testing,Done,user0019,2026-09-26
441,BANK-153,,To Do,user0029,2026-09-14
442,BANK-153,To Do,In Progress,user0027,2026-09-19
443,SEC-154,,To Do,user0015,2026-09-14
444,SEC-154,To Do,In Progress,user0018,2026-09-15
445,SEC-154,In Progress,Testing,user0021,2026-09-24
446,SEC-154,Testing,Done,user0042,2026-10-05
447,BANK-155,,To Do,user0002,2026-09-14
448,BANK-155,To Do,In Progress,user0020,2026-09-19
449,BANK-155,In Progress,Testing,user0035,2026-09-22
450,BANK-155,Testing,Done,user0044,2026-10-02
451,BI-156,,To Do,user0046,2026-09-14
452,BI-156,To Do,In Progress,user0005,2026-09-17
453,CRM-157,,To Do,user0013,2026-09-14
454,CRM-157,To Do,In Progress,user0036,2026-09-19
455,CRM-157,In Progress,Testing,user0011,2026-09-28
456,CRM-157,Testing,Done,user0043,2026-09-29
457,PORTAL-158,,To Do,user0001,2026-09-14
458,PORTAL-158,To Do,In Progress,user0022,2026-09-20
459,PORTAL-158,In Progress,Testing,user0037,2026-09-26
460,PORTAL-158,Testing,Done,user0011,2026-10-05
461,PORTAL-158,Done,Reopened,user0007,2026-09-26
462,SEC-159,,To Do,user0007,2026-09-14
463,BI-160,,To Do,user0033,2026-09-14
464,BI-160,To Do,In Progress,user0047,2026-09-19
465,BI-160,In Progress,Testing,user0025,2026-09-20
466,BI-160,Testing,Done,user0016,2026-09-20
467,BI-161,,To Do,user0006,2026-09-14
468,BI-161,To Do,In Progress,user0025,2026-09-18
469,BI-161,In Progress,Testing,user0024,2026-09-20
470,BI-161,Testing,Done,user0015,2026-09-26
471,BI-162,,To Do,user0028,2026-09-14
472,BI-162,To Do,In Progress,user0015,2026-09-21
473,BI-162,In Progress,Testing,user0004,2026-09-16
474,CLOUD-163,,To Do,user0019,2026-09-14
475,CLOUD-163,To Do,In Progress,user0044,2026-09-21
476,CLOUD-163,In Progress,Testing,user0013,2026-09-28
477,CLOUD-163,Testing,Done,user0021,2026-09-20
478,ERP-164,,To Do,user0003,2026-09-14
479,ERP-164,To Do,In Progress,user0023,2026-09-15
480,CRM-165,,To Do,user0019,2026-09-14
481,CRM-165,To Do,In Progress,user0030,2026-09-15
482,CRM-165,In Progress,Testing,user0041,2026-09-26
483,BI-166,,To Do,user0049,2026-09-14
484,BI-166,To Do,In Progress,user0046,2026-09-17
485,BI-166,In Progress,Testing,user0037,2026-09-22
486,SEC-167,,To Do,user0006,2026-09-14
487,SEC-167,To Do,In Progress,user0025,2026-09-17
488,SEC-167,In Progress,Testing,user0029,2026-09-26
489,PORTAL-168,,To Do,user0022,2026-09-14
490,BI-169,,To Do,user0010,2026-09-14
491,BI-169,To Do,In Progress,user0033,2026-09-20
492,BI-169,In Progress,Testing,user0047,2026-09-18
493,BI-169,Testing,Done,user0040,2026-10-02
494,CRM-170,,To Do,user0010,2026-09-14
495,PORTAL-171,,To Do,user0049,2026-09-14
496,PORTAL-171,To Do,In Progress,user0030,2026-09-18
497,PORTAL-171,In Progress,Blocked,user0045,2026-09-20
498,ECOM-172,,To Do,user0043,2026-09-14
499,ERP-173,,To Do,user0008,2026-09-14
500,ERP-173,To Do,In Progress,user0028,2026-09-21
501,ERP-173,In Progress,Testing,user0024,2026-09-28
502,ERP-173,Testing,Done,user0044,2026-09-26
503,ERP-173,Done,Reopened,user0049,2026-09-30
504,PORTAL-174,,To Do,user0030,2026-09-14
505,PORTAL-174,To Do,In Progress,user0020,2026-09-18
506,PORTAL-174,In Progress,Testing,user0026,2026-09-16
507,SEC-175,,To Do,user0016,2026-09-14
508,BANK-176,,To Do,user0023,2026-09-14
509,BANK-176,To Do,In Progress,user0033,2026-09-17
510,BANK-176,In Progress,Testing,user0008,2026-09-22
511,BANK-176,Testing,Done,user0008,2026-09-26
512,MOB-177,,To Do,user0004,2026-09-14
513,MOB-177,To Do,In Progress,user0037,2026-09-18
514,MOB-177,In Progress,Testing,user0027,2026-09-28
515,MOB-177,Testing,Done,user0037,2026-09-26
516,BANK-178,,To Do,user0039,2026-09-14
517,BI-179,,To Do,user0040,2026-09-14
518,BI-179,To Do,In Progress,user0018,2026-09-16
519,BI-179,In Progress,Testing,user0042,2026-09-24
520,BI-179,Testing,Done,user0010,2026-09-26
521,ECOM-180,,To Do,user0020,2026-09-14
522,ECOM-180,To Do,In Progress,user0013,2026-09-17
523,ECOM-180,In Progress,Testing,user0039,2026-09-22
