custom_field_id,issue_key,field_name,field_value
CF-000065,SEC-65,Story Points,High
CF-000066,MOB-66,Customer Impact,High
CF-000067,SEC-67,Risk Level,Low
CF-000068,BI-68,Story Points,Medium
CF-000069,MOB-69,Technical Complexity,High
CF-000070,PORTAL-70,Risk Level,High
CF-000072,CLOUD-72,Business Value,Medium
CF-000073,CLOUD-73,Risk Level,Low
CF-000074,BANK-74,Risk Level,High
CF-000075,ERP-75,Business Value,Very High
CF-000076,SEC-76,Technical Complexity,Medium
CF-000077,ERP-77,Technical Complexity,High
CF-000078,MOB-78,Customer Impact,Low
CF-000080,SEC-80,Technical Complexity,Low
CF-000081,BANK-81,Business Value,High
CF-000083,BANK-83,Story Points,Medium
CF-000084,BI-84,Customer Impact,Very High
CF-000085,BI-85,Story Points,Medium
CF-000087,BANK-87,Technical Complexity,High
CF-000089,CLOUD-89,Technical Complexity,Very High
CF-000090,PORTAL-90,Technical Complexity,High
CF-000091,MOB-91,Technical Complexity,High
CF-000092,CLOUD-92,Business Value,Medium
CF-000093,DATA-93,Story Points,High
CF-000094,PORTAL-94,Technical Complexity,Medium
CF-000095,SEC-95,Story Points,Very High
CF-000096,MOB-96,Technical Complexity,Medium
CF-000097,MOB-97,Business Value,Very High
CF-000098,CRM-98,Risk Level,Very High
CF-000099,MOB-99,Risk Level,Medium
CF-000100,SEC-100,Story Points,Low
CF-000101,SEC-101,Business Value,Low
CF-000102,BANK-102,Risk Level,Low
CF-000103,CRM-103,Customer Impact,Very High
CF-000104,ECOM-104,Technical Complexity,Very High
CF-000105,ERP-105,Story Points,Very High
CF-000106,BANK-106,Business Value,High
CF-000107,CLOUD-107,Technical Complexity,High
CF-000108,CRM-108,Business Value,High
CF-000109,BANK-109,Technical Complexity,Low
CF-000110,BANK-110,Story Points,Low
CF-000111,SEC-111,Customer Impact,High
CF-000112,ERP-112,Customer Impact,Medium
CF-000113,MOB-113,Risk Level,Low
CF-000114,BANK-114,Story Points,Very High
CF-000115,SEC-115,Technical Complexity,High
CF-000117,MOB-117,Story Points,High
CF-000118,SEC-118,Customer Impact,Very High
CF-000119,CLOUD-119,Customer Impact,High
CF-000120,CLOUD-120,Business Value,Low
CF-000122,PORTAL-122,Business Value,Medium
CF-000123,ECOM-123,Story Points,Very High
CF-000126,ERP-126,Customer Impact,Medium
CF-000127,SEC-127,Customer Impact,Very High
CF-000128,SEC-128,Technical Complexity,Low
CF-000131,CLOUD-131,Business Value,Low
CF-000132,SEC-132,Story Points,Very High
CF-000133,BI-133,Customer Impact,Medium
CF-000134,SEC-134,Technical Complexity,High
CF-000135,ERP-135,Technical Complexity,Very High
CF-000137,ERP-137,Customer Impact,High
CF-000138,CRM-138,Risk Level,Low
CF-000139,BANK-139,Risk Level,Low
CF-000140,ERP-140,Story Points,Low
CF-000142,ECOM-142,Risk Level,Medium
CF-000143,MOB-143,Customer Impact,Very High
CF-000144,CLOUD-144,Business Value,Very High
CF-000145,BANK-145,Technical Complexity,Low
CF-000146,ERP-146,Business Value,Very High
CF-000148,PORTAL-148,Business Value,Medium
CF-000149,MOB-149,Technical Complexity,Medium
CF-000150,DATA-150,Story Points,Very High
CF-000152,MOB-152,Technical Complexity,Low
CF-000155,BANK-155,Technical Complexity,High
CF-000156,BI-156,Customer Impact,Medium
CF-000159,SEC-159,Story Points,High
CF-000160,BI-160,Technical Complexity,High
CF-000161,BI-161,Risk Level,Very High
CF-000163,CLOUD-163,Business Value,Very High
CF-000164,ERP-164,Risk Level,High
CF-000165,CRM-165,Story Points,Low
CF-000166,BI-166,Business Value,Very High
CF-000167,SEC-167,Technical Complexity,Low
CF-000169,BI-169,Customer Impact,High
CF-000170,CRM-170,Customer Impact,Medium
CF-000172,ECOM-172,Story Points,Low
CF-000173,ERP-173,Risk Level,High
CF-000174,PORTAL-174,Business Value,High
CF-000175,SEC-175,Business Value,Low
CF-000176,BANK-176,Risk Level,Medium
CF-000178,BANK-178,Customer Impact,Very High
CF-000180,ECOM-180,Customer Impact,Medium
CF-000183,PORTAL-183,Business Value,Low
CF-000184,ERP-184,Story Points,High
CF-000185,CLOUD-185,Technical Complexity,Medium
CF-000186,BI-186,Story Points,Low
CF-000187,SEC-187,Risk Level,Medium
CF-000188,CRM-188,Risk Level,Low
CF-000189,SEC-189,Risk Level,High
CF-000193,PORTAL-193,Business Value,High
CF-000194,DATA-194,Business Value,Very High
CF-000196,CLOUD-196,Technical Complexity,Low
CF-000197,PORTAL-197,Business Value,High
CF-000199,PORTAL-199,Business Value,Medium
CF-000200,DATA-200,Story Points,Medium
CF-000202,ECOM-202,Technical Complexity,High
CF-000204,BANK-204,Business Value,Medium
CF-000205,ERP-205,Risk Level,Medium
CF-000206,CLOUD-206,Risk Level,Low
CF-000207,BI-207,Risk Level,Very High
CF-000208,BI-208,Business Value,Medium
CF-000209,MOB-209,Business Value,Medium
CF-000210,ERP-210,Risk Level,Very High
CF-000211,PORTAL-211,Risk Level,Very High
CF-000212,SEC-212,Technical Complexity,Low
CF-000213,MOB-213,Story Points,Low
CF-000214,BI-214,Customer Impact,High
CF-000216,ECOM-216,Technical Complexity,High
CF-000219,PORTAL-219,Customer Impact,Very High
CF-000220,ERP-220,Risk Level,Medium
CF-000221,ERP-221,Technical Complexity,Medium
CF-000222,CRM-222,Story Points,Low
CF-000223,MOB-223,Technical Complexity,Medium
CF-000225,DATA-225,Story Points,High
CF-000226,SEC-226,Risk Level,Very High
CF-000227,CLOUD-227,Technical Complexity,Medium
CF-000228,ERP-228,Business Value,Medium
CF-000229,CLOUD-229,Customer Impact,Very High
CF-000230,ECOM-230,Technical Complexity,High
CF-000231,ECOM-231,Story Points,Very High
CF-000232,CLOUD-232,Technical Complexity,Medium
CF-000233,ERP-233,Technical Complexity,Medium
CF-000234,CLOUD-234,Business Value,High
CF-000235,ERP-235,Business Value,Medium
CF-000237,MOB-237,Story Points,Medium
CF-000239,ECOM-239,Story Points,High
CF-000241,ECOM-241,Business Value,High
CF-000242,BI-242,Story Points,High
CF-000243,ECOM-243,Story Points,Very High
CF-000244,DATA-244,Technical Complexity,Low
CF-000245,BANK-245,Customer Impact,High
CF-000246,ECOM-246,Risk Level,Very High
CF-000248,CLOUD-248,Business Value,High
CF-000249,DATA-249,Technical Complexity,Very High
CF-000250,CRM-250,Story Points,Very High
CF-000252,BANK-252,Business Value,High
CF-000253,MOB-253,Story Points,High
CF-000255,PORTAL-255,Technical Complexity,High
CF-000256,ERP-256,Customer Impact,Low
CF-000257,ERP-257,Story Points,High
CF-000258,ERP-258,Technical Complexity,Low
CF-000260,MOB-260,Risk Level,High
CF-000262,DATA-262,Customer Impact,High
CF-000263,MOB-263,Risk Level,Medium
CF-000264,MOB-264,Story Points,Low
CF-000265,ERP-265,Customer Impact,Medium
CF-000266,ECOM-266,Story Points,Medium
CF-000267,BI-267,Business Value,Medium
CF-000268,ERP-268,Business Value,Low
CF-000269,SEC-269,Business Value,High
CF-000270,DATA-270,Risk Level,High
CF-000271,BANK-271,Customer Impact,High
CF-000272,ERP-272,Risk Level,Medium
CF-000273,ECOM-273,Technical Complexity,High
CF-000274,PORTAL-274,Technical Complexity,Very High
CF-000276,ERP-276,Business Value,Low
CF-000277,CLOUD-277,Business Value,Medium
CF-000278,CLOUD-278,Customer Impact,Very High
CF-000279,SEC-279,Customer Impact,High
CF-000281,BI-281,Customer Impact,Very High
CF-000282,BANK-282,Business Value,High
CF-000283,ECOM-283,Story Points,Very High
CF-000284,PORTAL-284,Risk Level,Very High
CF-000285,ECOM-285,Technical Complexity,High
CF-000286,MOB-286,Business Value,Medium
CF-000288,MOB-288,Business Value,Low
CF-000289,ECOM-289,Technical Complexity,Low
CF-000290,ERP-290,Business Value,Low
CF-000291,ERP-291,Customer Impact,Medium
CF-000292,ECOM-292,Story Points,Low
CF-000293,CRM-293,Customer Impact,Low
CF-000294,CRM-294,Technical Complexity,High
CF-000295,CRM-295,Business Value,Low
CF-000296,BI-296,Technical Complexity,Low
CF-000297,MOB-297,Business Value,Low
CF-000298,BI-298,Technical Complexity,Low
CF-000299,BANK-299,Technical Complexity,Medium
CF-000300,CRM-300,Risk Level,Medium
CF-000301,SEC-301,Customer Impact,Very High
CF-000302,BI-302,Risk Level,Very High
CF-000303,SEC-303,Business Value,Medium
CF-000304,BANK-304,Technical Complexity,Low
CF-000305,MOB-305,Story Points,Medium
CF-000306,DATA-306,Customer Impact,Very High
CF-000307,BI-307,Business Value,Very High
CF-000308,MOB-308,Business Value,Medium
CF-000309,CRM-309,Technical Complexity,Very High
CF-000310,DATA-310,Technical Complexity,Very High
CF-000313,BANK-313,Customer Impact,High
CF-000314,PORTAL-314,Business Value,High
CF-000315,DATA-315,Story Points,Low
CF-000316,CRM-316,Technical Complexity,Medium
CF-000317,ECOM-317,Customer Impact,Very High
CF-000318,BANK-318,Business Value,Medium
CF-000319,BANK-319,Technical Complexity,Medium
CF-000323,MOB-323,Business Value,Very High
CF-000325,SEC-325,Risk Level,Low
CF-000326,CLOUD-326,Customer Impact,High
CF-000327,CRM-327,Technical Complexity,Low
CF-000328,SEC-328,Customer Impact,Medium
CF-000329,DATA-329,Risk Level,Very High
CF-000330,DATA-330,Business Value,Medium
CF-000331,BANK-331,Customer Impact,Low
CF-000332,DATA-332,Customer Impact,High
CF-000333,BI-333,Customer Impact,Low
CF-000334,ECOM-334,Technical Complexity,Medium
CF-000335,CRM-335,Risk Level,Low
CF-000336,CLOUD-336,Customer Impact,Low
CF-000337,DATA-337,Risk Level,Very High
CF-000338,ECOM-338,Story Points,Medium
CF-000339,PORTAL-339,Technical Complexity,High
CF-000341,CLOUD-341,Risk Level,Medium
CF-000342,PORTAL-342,Customer Impact,Very High
CF-000344,CRM-344,Story Points,Very High
CF-000345,CLOUD-345,Technical Complexity,Medium
CF-000346,CLOUD-346,Risk Level,Low
CF-000347,PORTAL-347,Customer Impact,Medium
CF-000348,PORTAL-348,Story Points,Medium
CF-000349,CLOUD-349,Risk Level,High
CF-000350,ERP-350,Story Points,Medium
CF-000351,BANK-351,Story Points,Very High
CF-000352,BI-352,Risk Level,Medium
CF-000354,CLOUD-354,Business Value,Medium
CF-000357,MOB-357,Story Points,High
CF-000358,CLOUD-358,Story Points,Medium
CF-000359,BI-359,Technical Complexity,Low
CF-000361,DATA-361,Customer Impact,Very High
CF-000362,CRM-362,Business Value,Very High
CF-000364,BI-364,Story Points,High
CF-000365,CLOUD-365,Business Value,Very High
CF-000366,MOB-366,Story Points,Medium
CF-000368,BANK-368,Customer Impact,Low
CF-000369,SEC-369,Customer Impact,High
CF-000370,BI-370,Risk Level,Medium
CF-000371,BI-371,Risk Level,Low
CF-000376,DATA-376,Risk Level,Low
CF-000377,MOB-377,Business Value,Medium
CF-000378,CRM-378,Customer Impact,High
CF-000379,CRM-379,Customer Impact,Low
CF-000380,BANK-380,Story Points,High
CF-000382,CLOUD-382,Customer Impact,Medium
CF-000383,PORTAL-383,Business Value,Medium
CF-000384,PORTAL-384,Risk Level,Low
CF-000385,BANK-385,Risk Level,Medium
CF-000386,DATA-386,Technical Complexity,High
CF-000387,BANK-387,Story Points,Very High
CF-000388,ECOM-388,Technical Complexity,High
CF-000389,BI-389,Risk Level,High
CF-000391,PORTAL-391,Business Value,Very High
CF-000392,BI-392,Story Points,Low
CF-000393,CRM-393,Customer Impact,High
CF-000395,SEC-395,Customer Impact,Medium
CF-000396,ERP-396,Customer Impact,Low
CF-000397,BANK-397,Business Value,Low
CF-000400,ECOM-400,Business Value,Medium
CF-000401,ECOM-401,Risk Level,Low
CF-000402,SEC-402,Story Points,Medium
CF-000403,BI-403,Technical Complexity,Low
CF-000404,BANK-404,Technical Complexity,Very High
CF-000405,CLOUD-405,Technical Complexity,Low
CF-000406,ERP-406,Story Points,Low
CF-000407,SEC-407,Business Value,Medium
CF-000408,DATA-408,Story Points,Very High
CF-000409,CLOUD-409,Technical Complexity,Very High
CF-000410,BANK-410,Business Value,Medium
CF-000411,ERP-411,Customer Impact,Low
CF-000412,CLOUD-412,Technical Complexity,Low
CF-000413,SEC-413,Technical Complexity,Low
CF-000414,SEC-414,Risk Level,Very High
CF-000415,PORTAL-415,Customer Impact,Low
CF-000416,BI-416,Risk Level,High
CF-000417,ERP-417,Technical Complexity,Medium
CF-000418,SEC-418,Story Points,Very High
CF-000419,CRM-419,Risk Level,Low
CF-000422,ECOM-422,Story Points,Low
CF-000423,ECOM-423,Business Value,High
CF-000424,PORTAL-424,Customer Impact,High
CF-000425,CRM-425,Customer Impact,Very High
CF-000426,CRM-426,Business Value,High
CF-000428,BANK-428,Story Points,High
CF-000430,MOB-430,Risk Level,High
CF-000431,BANK-431,Technical Complexity,Very High
CF-000432,SEC-432,Technical Complexity,High
CF-000433,ERP-433,Story Points,Very High
CF-000434,CRM-434,Technical Complexity,Low
CF-000435,BI-435,Technical Complexity,Very High
CF-000436,MOB-436,Story Points,Low
CF-000438,ERP-438,Risk Level,High
CF-000440,DATA-440,Story Points,Low
CF-000442,CLOUD-442,Risk Level,Medium
CF-000443,BANK-443,Customer Impact,High
CF-000444,BANK-444,Risk Level,Medium
CF-000445,BI-445,Risk Level,Medium
CF-000446,CLOUD-446,Technical Complexity,Medium
CF-000447,ECOM-447,Business Value,Medium
CF-000448,ECOM-448,Customer Impact,Medium
CF-000450,ECOM-450,Customer Impact,Medium
CF-000451,CLOUD-451,Business Value,High
CF-000454,BANK-454,Business Value,High
CF-000455,BANK-455,Customer Impact,Very High
CF-000456,ECOM-456,Customer Impact,Medium
CF-000457,ECOM-457,Story Points,Low
CF-000458,MOB-458,Risk Level,Medium
CF-000460,CRM-460,Story Points,High
CF-000461,CLOUD-461,Business Value,High
CF-000462,ERP-462,Technical Complexity,Low
CF-000463,BANK-463,Story Points,Very High
CF-000464,SEC-464,Customer Impact,Medium
CF-000465,DATA-465,Customer Impact,Low
CF-000466,CLOUD-466,Risk Level,Very High
CF-000468,BANK-468,Story Points,Medium
CF-000469,PORTAL-469,Business Value,High
CF-000470,CLOUD-470,Story Points,High
CF-000471,MOB-471,Technical Complexity,Very High
CF-000472,SEC-472,Customer Impact,High
CF-000473,ECOM-473,Risk Level,Medium
CF-000474,BI-474,Risk Level,High
CF-000475,CRM-475,Business Value,High
CF-000476,ECOM-476,Technical Complexity,Low
CF-000477,BI-477,Risk Level,Low
CF-000478,BI-478,Story Points,Low
CF-000479,CLOUD-479,Risk Level,Low
CF-000480,ERP-480,Risk Level,Very High
CF-000481,BANK-481,Business Value,Low
CF-000482,BI-482,Risk Level,Medium
CF-000484,ERP-484,Risk Level,Low
CF-000485,CLOUD-485,Customer Impact,Medium
CF-000487,MOB-487,Risk Level,High
CF-000488,CLOUD-488,Risk Level,Medium
CF-000489,BI-489,Story Points,Medium
CF-000490,PORTAL-490,Technical Complexity,High
CF-000491,BI-491,Risk Level,High
CF-000492,MOB-492,Technical Complexity,Very High
CF-000493,BANK-493,Customer Impact,Very High
CF-000494,ECOM-494,Business Value,Medium
CF-000495,BANK-495,Customer Impact,Very High
CF-000496,ERP-496,Technical Complexity,High
CF-000498,BANK-498,Technical Complexity,Low
CF-000499,MOB-499,Story Points,High
CF-000500,ECOM-500,Technical Complexity,Low
CF-000501,MOB-501,Business Value,Very High
CF-000502,BANK-502,Story Points,High
CF-000503,MOB-503,Story Points,Very High
CF-000504,PORTAL-504,Story Points,Low
CF-000505,CLOUD-505,Story Points,Medium
CF-000506,DATA-506,Technical Complexity,Very High
CF-000507,ERP-507,Technical Complexity,Medium
CF-000508,ERP-508,Technical Complexity,Medium
CF-000510,DATA-510,Risk Level,Low
CF-000511,ECOM-511,Business Value,Medium
CF-000512,BANK-512,Customer Impact,Low
CF-000514,SEC-514,Technical Complexity,Medium
CF-000515,CLOUD-515,Customer Impact,Medium
CF-000517,DATA-517,Customer Impact,High
CF-000518,BI-518,Technical Complexity,Very High
CF-000519,PORTAL-519,Story Points,Medium
CF-000520,ECOM-520,Risk Level,Medium
CF-000521,SEC-521,Business Value,Medium
CF-000522,DATA-522,Technical Complexity,Very High
CF-000523,BI-523,Customer Impact,High
CF-000525,ERP-525,Story Points,Medium
CF-000526,MOB-526,Technical Complexity,Low
CF-000527,BI-527,Customer Impact,Low
CF-000528,CRM-528,Customer Impact,High
CF-000529,CRM-529,Story Points,High
CF-000530,BANK-530,Story Points,Low
CF-000531,CRM-531,Technical Complexity,Medium
CF-000532,CLOUD-532,Risk Level,Low
CF-000533,ECOM-533,Customer Impact,Medium
CF-000534,DATA-534,Story Points,High
CF-000535,BANK-535,Customer Impact,High
CF-000536,DATA-536,Story Points,High
CF-000538,ECOM-538,Story Points,Low
CF-000539,ECOM-539,Business Value,Low
CF-000540,BI-540,Customer Impact,Medium
CF-000542,ERP-542,Business Value,High
CF-000543,ECOM-543,Customer Impact,Medium
CF-000544,BANK-544,Customer Impact,Low
CF-000545,BANK-545,Technical Complexity,Very High
CF-000546,PORTAL-546,Story Points,Medium
CF-000547,CRM-547,Risk Level,Very High
CF-000548,PORTAL-548,Risk Level,Very High
CF-000549,BI-549,Story Points,High
CF-000550,CRM-550,Risk Level,Medium
CF-000551,SEC-551,Customer Impact,Very High
CF-000552,MOB-552,Customer Impact,Very High
CF-000553,PORTAL-553,Customer Impact,Low
CF-000554,ERP-554,Story Points,Very High
CF-000555,DATA-555,Risk Level,Medium
CF-000556,MOB-556,Customer Impact,Low
CF-000557,MOB-557,Business Value,Low
CF-000558,CLOUD-558,Business Value,High
CF-000559,ERP-559,Risk Level,Low
CF-000560,CLOUD-560,Story Points,Low
CF-000562,PORTAL-562,Risk Level,Low
CF-000563,BI-563,Technical Complexity,Medium
CF-000564,PORTAL-564,Business Value,Low
CF-000565,BANK-565,Technical Complexity,Low
CF-000566,ECOM-566,Customer Impact,Medium
CF-000567,SEC-567,Story Points,Medium
CF-000568,PORTAL-568,Risk Level,High
CF-000570,DATA-570,Story Points,Low
CF-000571,DATA-571,Story Points,Medium
CF-000572,PORTAL-572,Business Value,Very High
CF-000574,ERP-574,Technical Complexity,Low
CF-000575,PORTAL-575,Risk Level,Medium
CF-000576,ERP-576,Risk Level,Medium
CF-000577,MOB-577,Story Points,Medium
CF-000578,SEC-578,Business Value,Very High
CF-000579,BANK-579,Customer Impact,Medium
CF-000580,PORTAL-580,Customer Impact,Medium
CF-000581,ERP-581,Story Points,Medium
CF-000582,DATA-582,Technical Complexity,Very High
CF-000583,ERP-583,Business Value,High
CF-000584,ECOM-584,Technical Complexity,Low
CF-000585,ERP-585,Customer Impact,Low
CF-000587,SEC-587,Customer Impact,Medium
CF-000588,ERP-588,Technical Complexity,Medium
CF-000589,CLOUD-589,Business Value,Medium
CF-000590,ECOM-590,Business Value,Very High
CF-000591,BI-591,Technical Complexity,Medium
CF-000592,ERP-592,Story Points,High
CF-000593,BANK-593,Customer Impact,Low
CF-000595,ECOM-595,Business Value,Medium
CF-000598,PORTAL-598,Story Points,Low
CF-000599,CRM-599,Risk Level,High
CF-000601,CLOUD-601,Business Value,Low
CF-000602,MOB-602,Customer Impact,Very High
CF-000603,MOB-603,Customer Impact,Very High
CF-000605,ERP-605,Risk Level,Medium
CF-000606,MOB-606,Customer Impact,Medium
CF-000607,SEC-607,Business Value,Low
CF-000608,CLOUD-608,Technical Complexity,Very High
CF-000609,SEC-609,Risk Level,Medium
CF-000611,CLOUD-611,Customer Impact,Medium
CF-000612,CRM-612,Risk Level,Medium
CF-000613,BANK-613,Customer Impact,Low
CF-000614,ECOM-614,Customer Impact,High
CF-000615,ERP-615,Risk Level,Low
CF-000616,PORTAL-616,Risk Level,Very High
CF-000618,ECOM-618,Technical Complexity,Low
CF-000619,DATA-619,Business Value,Low
CF-000620,MOB-620,Story Points,Low
CF-000621,CLOUD-621,Story Points,Low
CF-000622,CRM-622,Story Points,Medium
CF-000623,BI-623,Technical Complexity,Very High
CF-000624,BANK-624,Story Points,Medium
CF-000625,CRM-625,Story Points,Low
CF-000626,SEC-626,Technical Complexity,Very High
CF-000628,BI-628,Risk Level,Medium
CF-000629,DATA-629,Technical Complexity,High
CF-000630,SEC-630,Risk Level,Medium
CF-000631,CLOUD-631,Business Value,Low
CF-000632,ECOM-632,Technical Complexity,Very High
CF-000633,BANK-633,Risk Level,Medium
CF-000634,SEC-634,Business Value,Low
CF-000635,SEC-635,Customer Impact,High
CF-000636,ECOM-636,Story Points,Very High
CF-000637,BANK-637,Risk Level,Very High
CF-000638,BI-638,Business Value,High
CF-000639,SEC-639,Story Points,Low
CF-000640,CRM-640,Technical Complexity,Medium
CF-000641,CRM-641,Story Points,Medium
CF-000642,SEC-642,Story Points,Medium
CF-000645,BI-645,Technical Complexity,Very High
CF-000646,BI-646,Risk Level,High
CF-000647,CLOUD-647,Business Value,High
CF-000648,MOB-648,Technical Complexity,Very High
CF-000650,CRM-650,Technical Complexity,Very High
CF-000651,BANK-651,Story Points,Very High
CF-000652,SEC-652,Risk Level,Medium
CF-000653,ECOM-653,Customer Impact,High
CF-000654,CRM-654,Customer Impact,Medium
CF-000656,ECOM-656,Risk Level,High
CF-000657,DATA-657,Technical Complexity,Low
CF-000658,BI-658,Technical Complexity,High
CF-000659,SEC-659,Story Points,Medium
CF-000660,PORTAL-660,Business Value,High
CF-000661,ERP-661,Customer Impact,Low
CF-000662,BI-662,Customer Impact,Medium
CF-000663,SEC-663,Business Value,Medium
CF-000664,ERP-664,Risk Level,High
CF-000665,ECOM-665,Business Value,Medium
CF-000666,SEC-666,Risk Level,Low
CF-000668,MOB-668,Technical Complexity,Low
CF-000669,BANK-669,Customer Impact,Medium
CF-000670,MOB-670,Customer Impact,Medium
CF-000671,MOB-671,Customer Impact,Very High
CF-000673,MOB-673,Story Points,Very High
CF-000674,CRM-674,Risk Level,Very High
CF-000675,CRM-675,Risk Level,Medium
CF-000677,CLOUD-677,Business Value,High
CF-000678,BI-678,Story Points,Very High
CF-000679,PORTAL-679,Story Points,Very High
CF-000680,BI-680,Technical Complexity,Medium
CF-000681,CRM-681,Business Value,Medium
CF-000682,BANK-682,Business Value,Very High
CF-000683,MOB-683,Customer Impact,Medium
CF-000684,CLOUD-684,Risk Level,Very High
CF-000685,DATA-685,Business Value,Low
CF-000686,BI-686,Story Points,Low
CF-000687,DATA-687,Customer Impact,Medium
CF-000689,PORTAL-689,Risk Level,Very High
CF-000690,MOB-690,Risk Level,Medium
CF-000693,PORTAL-693,Technical Complexity,High
CF-000694,BANK-694,Risk Level,Low
CF-000696,BANK-696,Technical Complexity,Medium
CF-000697,DATA-697,Risk Level,Medium
CF-000698,ECOM-698,Business Value,Medium
CF-000700,BI-700,Story Points,Low
CF-000701,CLOUD-701,Customer Impact,Very High
CF-000702,PORTAL-702,Business Value,Medium
CF-000703,BI-703,Risk Level,Medium
CF-000705,BI-705,Story Points,Medium
CF-000706,SEC-706,Risk Level,Low
CF-000708,CRM-708,Customer Impact,Very High
CF-000709,CRM-709,Customer Impact,Medium
CF-000711,DATA-711,Technical Complexity,High
CF-000713,CLOUD-713,Business Value,Medium
CF-000714,PORTAL-714,Business Value,Low
CF-000716,BANK-716,Story Points,Low
CF-000718,CLOUD-718,Story Points,Medium
CF-000719,BANK-719,Risk Level,Low
CF-000720,BANK-720,Risk Level,Medium
CF-000721,MOB-721,Story Points,High
CF-000722,DATA-722,Business Value,Low
CF-000723,ERP-723,Business Value,Very High
CF-000724,SEC-724,Customer Impact,Very High
CF-000726,DATA-726,Risk Level,Very High
CF-000727,PORTAL-727,Business Value,Medium
CF-000728,ERP-728,Technical Complexity,Medium
CF-000729,DATA-729,Technical Complexity,Low
CF-000731,PORTAL-731,Story Points,Low
CF-000732,MOB-732,Customer Impact,Low
CF-000733,MOB-733,Story Points,Medium
CF-000734,DATA-734,Customer Impact,Medium
CF-000735,ERP-735,Technical Complexity,High
CF-000737,MOB-737,Story Points,High
CF-000738,BANK-738,Business Value,High
CF-000739,MOB-739,Story Points,Medium
CF-000741,BI-741,Technical Complexity,Very High
CF-000742,PORTAL-742,Story Points,High
CF-000743,CRM-743,Technical Complexity,Low
CF-000744,MOB-744,Story Points,Very High
CF-000745,CRM-745,Customer Impact,High
CF-000746,SEC-746,Technical Complexity,High
CF-000747,MOB-747,Risk Level,Very High
CF-000748,PORTAL-748,Story Points,High
CF-000749,BANK-749,Risk Level,Low
CF-000750,CLOUD-750,Business Value,Very High
CF-000751,ECOM-751,Technical Complexity,Very High
CF-000752,ERP-752,Story Points,Medium
CF-000753,PORTAL-753,Technical Complexity,Low
CF-000754,ERP-754,Story Points,Medium
CF-000755,BANK-755,Customer Impact,Very High
CF-000757,ERP-757,Story Points,Very High
CF-000758,BANK-758,Story Points,Low
CF-000759,ERP-759,Technical Complexity,Low
CF-000760,SEC-760,Business Value,Low
CF-000761,DATA-761,Technical Complexity,High
CF-000762,CRM-762,Story Points,Medium
CF-000763,PORTAL-763,Risk Level,Low
CF-000764,SEC-764,Business Value,Low
CF-000765,DATA-765,Customer Impact,Medium
CF-000766,ERP-766,Business Value,Low
CF-000767,DATA-767,Risk Level,Low
CF-000768,MOB-768,Risk Level,High
CF-000769,ERP-769,Story Points,Low
CF-000771,CRM-771,Technical Complexity,High
CF-000772,SEC-772,Business Value,Very High
CF-000773,CLOUD-773,Technical Complexity,Low
CF-000774,ERP-774,Risk Level,High
CF-000775,CLOUD-775,Story Points,Very High
CF-000776,BI-776,Customer Impact,Medium
CF-000777,DATA-777,Customer Impact,Very High
CF-000778,SEC-778,Customer Impact,Low
CF-000779,ERP-779,Risk Level,Very High
CF-000780,BI-780,Technical Complexity,High
CF-000781,BANK-781,Risk Level,Very High
CF-000783,SEC-783,Customer Impact,Medium
CF-000785,MOB-785,Risk Level,Medium
CF-000786,CRM-786,Customer Impact,High
CF-000787,ERP-787,Risk Level,High
